Country code,Country,Region code,Region,BUA code,BUA name,BUA size classification, Counts 
E92000001,England,E12000009,South West,E63006169,Ruishton,Minor," 1,475 "
E92000001,England,E12000002,North West,E63001481,Runcorn,Medium," 61,645 "
E92000001,England,E12000008,South East,E63006582,Runcton,Minor, 470 
E92000001,England,E12000006,East of England,E63002531,Runcton Holme,Minor, 625 
E92000001,England,E12000008,South East,E63005670,Runfold,Minor, 380 
E92000001,England,E12000006,East of England,E63004703,Runwell,Small," 8,085 "
E92000001,England,E12000005,West Midlands,E63002675,Rushall and Shelfield,Small," 12,845 "
E92000001,England,E12000004,East Midlands,E63003267,Rushden,Medium," 31,685 "
E92000001,England,E12000006,East of England,E63003688,Rushmere St Andrew,Minor, 675 
E92000001,England,E12000008,South East,E63005813,Rushmoor,Minor, 425 
E92000001,England,E12000004,East Midlands,E63002961,Rushton,Minor, 530 
E92000001,England,E12000005,West Midlands,E63003525,Rushwick,Minor," 1,195 "
E92000001,England,E12000004,East Midlands,E63001862,Ruskington,Small," 5,650 "
E92000001,England,E12000008,South East,E63005899,Rusper,Minor, 670 
E92000001,England,E12000009,South West,E63004361,Ruspidge,Minor," 2,430 "
E92000001,England,E12000008,South East,E63005857,Rusthall and Langton Green,Small," 7,780 "
E92000001,England,E12000008,South East,E63006568,Rustington,Medium," 33,885 "
E92000001,England,E12000005,West Midlands,E63002262,Ruyton-XI-Towns,Minor, 950 
E92000001,England,E12000005,West Midlands,E63003816,Ryall,Minor, 960 
E92000001,England,E12000008,South East,E63005354,Ryarsh,Minor, 490 
E92000001,England,E12000008,South East,E63006721,Ryde,Medium," 24,105 "
E92000001,England,E12000008,South East,E63006256,Rye,Minor," 4,885 "
E92000001,England,E12000004,East Midlands,E63002488,Ryhall,Minor," 1,445 "
E92000001,England,E12000001,North East,E63000093,Ryton,Small," 8,805 "
E92000001,England,E12000005,West Midlands,E63003102,Ryton-on-Dunsmore,Minor," 1,830 "
E92000001,England,E12000002,North West,E63000750,Sabden,Minor," 1,585 "
E92000001,England,E12000001,North East,E63000175,Sacriston,Small," 5,190 "
E92000001,England,E12000001,North East,E63000330,Sadberge,Minor, 675 
E92000001,England,E12000006,East of England,E63003866,Saffron Walden,Small," 16,610 "
E92000001,England,E12000006,East of England,E63002655,Saham Toney,Minor," 1,285 "
E92000001,England,E12000009,South West,E63007030,Salcombe,Minor," 1,585 "
E92000001,England,E12000002,North West,E63001363,Sale,Medium," 62,550 "
E92000001,England,E12000002,North West,E63001274,Salford,Large," 108,410 "
E92000001,England,E12000005,West Midlands,E63003578,Salford Priors,Minor, 780 
E92000001,England,E12000008,South East,E63005686,Salfords,Minor," 1,870 "
E92000001,England,E12000006,East of England,E63002423,Salhouse,Minor," 1,430 "
E92000001,England,E12000009,South West,E63006038,Salisbury,Medium," 47,690 "
E92000001,England,E12000006,East of England,E63003542,Salph End,Minor, 490 
E92000001,England,E12000009,South West,E63006918,Saltash,Small," 15,435 "
E92000001,England,E12000001,North East,E63000306,Saltburn-by-the-Sea,Small," 5,875 "
E92000001,England,E12000004,East Midlands,E63001341,Saltfleet,Minor, 515 
E92000001,England,E12000004,East Midlands,E63001392,Saltfleetby St Peter,Minor, 270 
E92000001,England,E12000009,South West,E63005172,Saltford,Minor," 4,135 "
E92000001,England,E12000006,East of England,E63001953,Salthouse,Minor, 155 
E92000001,England,E12000008,South East,E63005926,Saltwood,Minor, 855 
E92000001,England,E12000005,West Midlands,E63003362,Sambourne,Minor, 235 
E92000001,England,E12000009,South West,E63006371,Sampford Peverell,Minor," 1,375 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000730,Sancton,Minor, 265 
E92000001,England,E12000002,North West,E63001738,Sandbach,Small," 11,290 "
E92000001,England,E12000009,South West,E63006737,Sandford (Dorset),Minor," 2,000 "
E92000001,England,E12000009,South West,E63006588,Sandford (Mid Devon),Minor, 635 
E92000001,England,E12000008,South East,E63004568,Sandford-on-Thames,Minor, 500 
E92000001,England,E12000008,South East,E63005306,Sandhurst (Bracknell Forest),Medium," 20,215 "
E92000001,England,E12000009,South West,E63004140,Sandhurst (Tewkesbury),Minor, 270 
E92000001,England,E12000008,South East,E63006084,Sandhurst (Tunbridge Wells),Minor, 670 
E92000001,England,E12000004,East Midlands,E63002062,Sandiacre,Small," 9,370 "
E92000001,England,E12000008,South East,E63006361,Sandleheath,Minor," 1,545 "
E92000001,England,E12000006,East of England,E63004498,Sandon,Minor, 250 
E92000001,England,E12000008,South East,E63006791,Sandown,Small," 11,655 "
E92000001,England,E12000006,East of England,E63004397,Sandridge,Minor," 1,460 "
E92000001,England,E12000008,South East,E63005392,Sandwich,Minor," 4,260 "
E92000001,England,E12000006,East of England,E63003598,Sandy,Small," 11,375 "
E92000001,England,E12000008,South East,E63005644,Sandy Cross,Minor, 285 
E92000001,England,E12000004,East Midlands,E63002808,Sapcote,Minor," 3,265 "
E92000001,England,E12000004,East Midlands,E63002190,Saracen's Head,Minor, 900 
E92000001,England,E12000006,East of England,E63004619,Sarratt,Minor, 655 
E92000001,England,E12000002,North West,E63001639,Saughall,Minor," 2,660 "
E92000001,England,E12000009,South West,E63004415,Saul,Minor, 350 
E92000001,England,E12000006,East of England,E63004320,Sawbridgeworth,Small," 10,475 "
E92000001,England,E12000006,East of England,E63003614,Sawston,Small," 7,270 "
E92000001,England,E12000006,East of England,E63002952,Sawtry,Small," 5,875 "
E92000001,England,E12000003,Yorkshire and The Humber,E63001015,Saxby All Saints,Minor, 355 
E92000001,England,E12000004,East Midlands,E63001562,Saxilby,Minor," 4,430 "
E92000001,England,E12000006,East of England,E63002741,Saxlingham Nethergate,Minor, 700 
E92000001,England,E12000006,East of England,E63003337,Saxmundham,Minor," 4,780 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000760,Saxton,Minor, 565 
E92000001,England,E12000008,South East,E63006297,Sayers Common,Minor, 870 
E92000001,England,E12000003,Yorkshire and The Humber,E63000404,Scalby,Minor," 1,790 "
E92000001,England,E12000004,East Midlands,E63001516,Scamblesby,Minor, 280 
E92000001,England,E12000004,East Midlands,E63001504,Scampton,Minor, 610 
E92000001,England,E12000003,Yorkshire and The Humber,E63001023,Scapegoat Hill,Minor, 740 
E92000001,England,E12000003,Yorkshire and The Humber,E63000425,Scarborough,Medium," 59,505 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000712,Scarcroft,Minor," 1,635 "
E92000001,England,E12000002,North West,E63001065,Scarisbrick,Minor, 300 
E92000001,England,E12000003,Yorkshire and The Humber,E63001185,Scawby,Minor," 1,605 "
E92000001,England,E12000003,Yorkshire and The Humber,E63001161,Scawby Brook,Minor, 915 
E92000001,England,E12000003,Yorkshire and The Humber,E63001184,Scawthorpe and Cusworth,Small," 13,015 "
E92000001,England,E12000008,South East,E63006197,Scayne's Hill,Minor, 715 
E92000001,England,E12000002,North West,E63001778,Scholar Green,Minor," 2,095 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000756,Scholes (Leeds),Minor," 2,270 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000901,Scholes (near Cleckheaton),Minor," 2,895 "
E92000001,England,E12000003,Yorkshire and The Humber,E63001156,Scholes (near Hade Edge),Minor," 1,890 "
E92000001,England,E12000001,North East,E63000291,School Aycliffe,Minor," 1,590 "
E92000001,England,E12000006,East of England,E63003964,School Green,Minor, 425 
E92000001,England,E12000006,East of England,E63003010,Scole,Minor," 1,035 "
E92000001,England,E12000004,East Midlands,E63001768,Scopwick,Minor, 300 
E92000001,England,E12000003,Yorkshire and The Humber,E63000383,Scorton,Minor," 1,010 "
E92000001,England,E12000002,North West,E63000135,Scotby,Minor," 1,830 "
E92000001,England,E12000004,East Midlands,E63001537,Scothern,Minor, 975 
E92000001,England,E12000004,East Midlands,E63001255,Scotter,Minor," 2,950 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000569,Scotton (Harrogate),Minor, 695 
E92000001,England,E12000004,East Midlands,E63001277,Scotton (West Lindsey),Minor, 610 
E92000001,England,E12000004,East Midlands,E63002017,Scrane End,Minor, 570 
E92000001,England,E12000004,East Midlands,E63001375,Scrooby,Minor, 305 
E92000001,England,E12000003,Yorkshire and The Humber,E63000401,Scruton,Minor, 420 
E92000001,England,E12000006,East of England,E63002129,Sculthorpe,Minor, 290 
E92000001,England,E12000003,Yorkshire and The Humber,E63001112,Scunthorpe,Large," 81,265 "
E92000001,England,E12000006,East of England,E63002192,Sea Palling,Minor, 390 
E92000001,England,E12000008,South East,E63006626,Seaford,Medium," 23,865 "
E92000001,England,E12000004,East Midlands,E63002350,Seagrave,Minor, 570 
E92000001,England,E12000001,North East,E63000168,Seaham,Medium," 21,665 "
E92000001,England,E12000001,North East,E63000009,Seahouses and North Sunderland,Minor," 1,680 "
E92000001,England,E12000008,South East,E63005433,Seal,Minor," 1,620 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000355,Seamer (Hambleton),Minor, 325 
E92000001,England,E12000003,Yorkshire and The Humber,E63000437,Seamer (Scarborough),Minor," 2,120 "
