Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000059,Dorset,2,2 people in household,68961,40.74
E06000059,Dorset,3,3 people in household,22917,13.54
E06000059,Dorset,4,4 people in household,18049,10.66
E06000059,Dorset,5,5 people in household,5470,3.23
E06000059,Dorset,6,6 people in household,1488,0.88
E06000059,Dorset,7,7 people in household,408,0.24
E06000059,Dorset,8,8 or more people in household,223,0.13
E06000060,Buckinghamshire,0,0 people in household,0,0.0
E06000060,Buckinghamshire,1,1 person in household,57889,26.27
E06000060,Buckinghamshire,2,2 people in household,74977,34.03
E06000060,Buckinghamshire,3,3 people in household,36693,16.65
E06000060,Buckinghamshire,4,4 people in household,34470,15.64
E06000060,Buckinghamshire,5,5 people in household,11108,5.04
E06000060,Buckinghamshire,6,6 people in household,3331,1.51
E06000060,Buckinghamshire,7,7 people in household,1107,0.5
E06000060,Buckinghamshire,8,8 or more people in household,753,0.34
E06000061,North Northamptonshire,0,0 people in household,0,0.0
E06000061,North Northamptonshire,1,1 person in household,40715,27.34
E06000061,North Northamptonshire,2,2 people in household,52937,35.55
E06000061,North Northamptonshire,3,3 people in household,25312,17.0
E06000061,North Northamptonshire,4,4 people in household,20317,13.64
E06000061,North Northamptonshire,5,5 people in household,6749,4.53
E06000061,North Northamptonshire,6,6 people in household,2096,1.41
E06000061,North Northamptonshire,7,7 people in household,530,0.36
E06000061,North Northamptonshire,8,8 or more people in household,263,0.18
E06000062,West Northamptonshire,0,0 people in household,0,0.0
E06000062,West Northamptonshire,1,1 person in household,46474,26.92
E06000062,West Northamptonshire,2,2 people in household,60072,34.8
E06000062,West Northamptonshire,3,3 people in household,29420,17.04
E06000062,West Northamptonshire,4,4 people in household,24645,14.28
E06000062,West Northamptonshire,5,5 people in household,8312,4.81
E06000062,West Northamptonshire,6,6 people in household,2506,1.45
E06000062,West Northamptonshire,7,7 people in household,767,0.44
E06000062,West Northamptonshire,8,8 or more people in household,445,0.26
E08000001,Bolton,0,0 people in household,0,0.0
E08000001,Bolton,1,1 person in household,36521,30.74
E08000001,Bolton,2,2 people in household,36766,30.95
E08000001,Bolton,3,3 people in household,19218,16.18
E08000001,Bolton,4,4 people in household,15001,12.63
E08000001,Bolton,5,5 people in household,6336,5.33
E08000001,Bolton,6,6 people in household,2696,2.27
E08000001,Bolton,7,7 people in household,1169,0.98
E08000001,Bolton,8,8 or more people in household,1084,0.91
E08000002,Bury,0,0 people in household,0,0.0
E08000002,Bury,1,1 person in household,24880,30.83
E08000002,Bury,2,2 people in household,26584,32.94
E08000002,Bury,3,3 people in household,13122,16.26
E08000002,Bury,4,4 people in household,10148,12.58
E08000002,Bury,5,5 people in household,3621,4.49
E08000002,Bury,6,6 people in household,1356,1.68
E08000002,Bury,7,7 people in household,555,0.69
E08000002,Bury,8,8 or more people in household,429,0.53
E08000003,Manchester,0,0 people in household,0,0.0
E08000003,Manchester,1,1 person in household,71577,33.33
E08000003,Manchester,2,2 people in household,62664,29.18
E08000003,Manchester,3,3 people in household,32180,14.99
E08000003,Manchester,4,4 people in household,24487,11.4
E08000003,Manchester,5,5 people in household,12817,5.97
E08000003,Manchester,6,6 people in household,6275,2.92
E08000003,Manchester,7,7 people in household,2700,1.26
E08000003,Manchester,8,8 or more people in household,2029,0.94
E08000004,Oldham,0,0 people in household,0,0.0
E08000004,Oldham,1,1 person in household,27396,29.41
E08000004,Oldham,2,2 people in household,28070,30.14
E08000004,Oldham,3,3 people in household,15256,16.38
E08000004,Oldham,4,4 people in household,11738,12.6
E08000004,Oldham,5,5 people in household,5397,5.79
E08000004,Oldham,6,6 people in household,2743,2.95
E08000004,Oldham,7,7 people in household,1261,1.35
E08000004,Oldham,8,8 or more people in household,1278,1.37
E08000005,Rochdale,0,0 people in household,0,0.0
E08000005,Rochdale,1,1 person in household,27641,30.64
E08000005,Rochdale,2,2 people in household,27854,30.87
E08000005,Rochdale,3,3 people in household,14951,16.57
E08000005,Rochdale,4,4 people in household,11210,12.42
E08000005,Rochdale,5,5 people in household,5003,5.55
E08000005,Rochdale,6,6 people in household,2146,2.38
E08000005,Rochdale,7,7 people in household,849,0.94
E08000005,Rochdale,8,8 or more people in household,569,0.63
E08000006,Salford,0,0 people in household,0,0.0
E08000006,Salford,1,1 person in household,39141,34.0
E08000006,Salford,2,2 people in household,37670,32.72
E08000006,Salford,3,3 people in household,18097,15.72
E08000006,Salford,4,4 people in household,12359,10.74
E08000006,Salford,5,5 people in household,4608,4.0
E08000006,Salford,6,6 people in household,1794,1.56
E08000006,Salford,7,7 people in household,664,0.58
E08000006,Salford,8,8 or more people in household,785,0.68
E08000007,Stockport,0,0 people in household,0,0.0
E08000007,Stockport,1,1 person in household,39439,31.14
E08000007,Stockport,2,2 people in household,42565,33.61
E08000007,Stockport,3,3 people in household,20627,16.29
E08000007,Stockport,4,4 people in household,16999,13.42
E08000007,Stockport,5,5 people in household,5049,3.99
E08000007,Stockport,6,6 people in household,1328,1.05
E08000007,Stockport,7,7 people in household,399,0.32
E08000007,Stockport,8,8 or more people in household,239,0.19
E08000008,Tameside,0,0 people in household,0,0.0
E08000008,Tameside,1,1 person in household,32374,32.53
E08000008,Tameside,2,2 people in household,32399,32.55
E08000008,Tameside,3,3 people in household,16536,16.61
E08000008,Tameside,4,4 people in household,11845,11.9
E08000008,Tameside,5,5 people in household,4169,4.19
E08000008,Tameside,6,6 people in household,1370,1.38
E08000008,Tameside,7,7 people in household,488,0.49
E08000008,Tameside,8,8 or more people in household,346,0.35
E08000009,Trafford,0,0 people in household,0,0.0
E08000009,Trafford,1,1 person in household,28369,29.47
E08000009,Trafford,2,2 people in household,30169,31.34
E08000009,Trafford,3,3 people in household,16038,16.66
E08000009,Trafford,4,4 people in household,14824,15.4
E08000009,Trafford,5,5 people in household,4766,4.95
E08000009,Trafford,6,6 people in household,1448,1.5
E08000009,Trafford,7,7 people in household,410,0.43
E08000009,Trafford,8,8 or more people in household,245,0.25
E08000010,Wigan,0,0 people in household,0,0.0
E08000010,Wigan,1,1 person in household,43950,30.71
E08000010,Wigan,2,2 people in household,49686,34.72
E08000010,Wigan,3,3 people in household,24370,17.03
E08000010,Wigan,4,4 people in household,17771,12.42
E08000010,Wigan,5,5 people in household,5425,3.79
E08000010,Wigan,6,6 people in household,1366,0.95
E08000010,Wigan,7,7 people in household,365,0.26
E08000010,Wigan,8,8 or more people in household,172,0.12
E08000011,Knowsley,0,0 people in household,0,0.0
E08000011,Knowsley,1,1 person in household,20645,31.25
E08000011,Knowsley,2,2 people in household,20770,31.43
E08000011,Knowsley,3,3 people in household,12369,18.72
E08000011,Knowsley,4,4 people in household,8436,12.77
E08000011,Knowsley,5,5 people in household,2832,4.29
E08000011,Knowsley,6,6 people in household,758,1.15
E08000011,Knowsley,7,7 people in household,194,0.29
E08000011,Knowsley,8,8 or more people in household,69,0.1
E08000012,Liverpool,0,0 people in household,0,0.0
E08000012,Liverpool,1,1 person in household,76340,36.79
E08000012,Liverpool,2,2 people in household,62338,30.04
E08000012,Liverpool,3,3 people in household,32801,15.81
E08000012,Liverpool,4,4 people in household,23081,11.12
E08000012,Liverpool,5,5 people in household,8364,4.03
E08000012,Liverpool,6,6 people in household,2854,1.38
E08000012,Liverpool,7,7 people in household,1054,0.51
E08000012,Liverpool,8,8 or more people in household,659,0.32
E08000013,St. Helens,0,0 people in household,0,0.0
E08000013,St. Helens,1,1 person in household,25561,31.55
E08000013,St. Helens,2,2 people in household,28261,34.89
E08000013,St. Helens,3,3 people in household,13961,17.23
E08000013,St. Helens,4,4 people in household,9445,11.66
E08000013,St. Helens,5,5 people in household,2798,3.45
E08000013,St. Helens,6,6 people in household,716,0.88
E08000013,St. Helens,7,7 people in household,188,0.23
E08000013,St. Helens,8,8 or more people in household,81,0.1
E08000014,Sefton,0,0 people in household,0,0.0
E08000014,Sefton,1,1 person in household,41520,33.74
E08000014,Sefton,2,2 people in household,40852,33.19
E08000014,Sefton,3,3 people in household,19654,15.97
E08000014,Sefton,4,4 people in household,14538,11.81
E08000014,Sefton,5,5 people in household,4632,3.76
E08000014,Sefton,6,6 people in household,1297,1.05
E08000014,Sefton,7,7 people in household,334,0.27
E08000014,Sefton,8,8 or more people in household,249,0.2
E08000015,Wirral,0,0 people in household,0,0.0
E08000015,Wirral,1,1 person in household,49688,34.69
E08000015,Wirral,2,2 people in household,47215,32.96
E08000015,Wirral,3,3 people in household,22413,15.65
E08000015,Wirral,4,4 people in household,16632,11.61
E08000015,Wirral,5,5 people in household,5260,3.67
E08000015,Wirral,6,6 people in household,1411,0.98
E08000015,Wirral,7,7 people in household,424,0.3
E08000015,Wirral,8,8 or more people in household,209,0.15
E08000016,Barnsley,0,0 people in household,0,0.0
E08000016,Barnsley,1,1 person in household,33289,30.81
E08000016,Barnsley,2,2 people in household,39307,36.38
E08000016,Barnsley,3,3 people in household,17958,16.62
E08000016,Barnsley,4,4 people in household,12350,11.43
E08000016,Barnsley,5,5 people in household,3775,3.49
E08000016,Barnsley,6,6 people in household,987,0.91
E08000016,Barnsley,7,7 people in household,256,0.24
E08000016,Barnsley,8,8 or more people in household,128,0.12
E08000017,Doncaster,0,0 people in household,0,0.0
E08000017,Doncaster,1,1 person in household,41667,31.22
E08000017,Doncaster,2,2 people in household,47031,35.23
E08000017,Doncaster,3,3 people in household,21951,16.45
E08000017,Doncaster,4,4 people in household,15610,11.69
E08000017,Doncaster,5,5 people in household,5110,3.83
E08000017,Doncaster,6,6 people in household,1492,1.12
E08000017,Doncaster,7,7 people in household,414,0.31
E08000017,Doncaster,8,8 or more people in household,204,0.15
E08000018,Rotherham,0,0 people in household,0,0.0
E08000018,Rotherham,1,1 person in household,34225,30.04
E08000018,Rotherham,2,2 people in household,40346,35.41
E08000018,Rotherham,3,3 people in household,18652,16.37
E08000018,Rotherham,4,4 people in household,13936,12.23
E08000018,Rotherham,5,5 people in household,4593,4.03
E08000018,Rotherham,6,6 people in household,1387,1.22
E08000018,Rotherham,7,7 people in household,471,0.41
E08000018,Rotherham,8,8 or more people in household,315,0.28
E08000019,Sheffield,0,0 people in household,0,0.0
E08000019,Sheffield,1,1 person in household,75759,32.66
E08000019,Sheffield,2,2 people in household,77636,33.47
E08000019,Sheffield,3,3 people in household,34992,15.09
E08000019,Sheffield,4,4 people in household,27650,11.92
E08000019,Sheffield,5,5 people in household,10083,4.35
E08000019,Sheffield,6,6 people in household,3605,1.55
E08000019,Sheffield,7,7 people in household,1306,0.56
E08000019,Sheffield,8,8 or more people in household,919,0.4
E08000021,Newcastle upon Tyne,0,0 people in household,0,0.0
E08000021,Newcastle upon Tyne,1,1 person in household,42031,34.23
E08000021,Newcastle upon Tyne,2,2 people in household,39194,31.92
E08000021,Newcastle upon Tyne,3,3 people in household,18742,15.26
E08000021,Newcastle upon Tyne,4,4 people in household,13929,11.34
E08000021,Newcastle upon Tyne,5,5 people in household,5284,4.3
E08000021,Newcastle upon Tyne,6,6 people in household,2212,1.8
E08000021,Newcastle upon Tyne,7,7 people in household,805,0.66
E08000021,Newcastle upon Tyne,8,8 or more people in household,600,0.49
E08000022,North Tyneside,0,0 people in household,0,0.0
E08000022,North Tyneside,1,1 person in household,33553,34.87
E08000022,North Tyneside,2,2 people in household,33266,34.57
E08000022,North Tyneside,3,3 people in household,14822,15.4
E08000022,North Tyneside,4,4 people in household,10971,11.4
E08000022,North Tyneside,5,5 people in household,2735,2.84
E08000022,North Tyneside,6,6 people in household,680,0.71
E08000022,North Tyneside,7,7 people in household,149,0.15
E08000022,North Tyneside,8,8 or more people in household,56,0.06
E08000023,South Tyneside,0,0 people in household,0,0.0
E08000023,South Tyneside,1,1 person in household,24550,35.95
E08000023,South Tyneside,2,2 people in household,22878,33.5
E08000023,South Tyneside,3,3 people in household,11001,16.11
E08000023,South Tyneside,4,4 people in household,7092,10.39
E08000023,South Tyneside,5,5 people in household,2023,2.96
E08000023,South Tyneside,6,6 people in household,538,0.79
E08000023,South Tyneside,7,7 people in household,138,0.2
E08000023,South Tyneside,8,8 or more people in household,69,0.1
E08000024,Sunderland,0,0 people in household,0,0.0
E08000024,Sunderland,1,1 person in household,40368,33.04
E08000024,Sunderland,2,2 people in household,42256,34.58
E08000024,Sunderland,3,3 people in household,20562,16.83
E08000024,Sunderland,4,4 people in household,13589,11.12
E08000024,Sunderland,5,5 people in household,3809,3.12
E08000024,Sunderland,6,6 people in household,1062,0.87
E08000024,Sunderland,7,7 people in household,342,0.28
E08000024,Sunderland,8,8 or more people in household,194,0.16
E08000025,Birmingham,0,0 people in household,0,0.0
E08000025,Birmingham,1,1 person in household,133224,31.46
E08000025,Birmingham,2,2 people in household,113012,26.69
E08000025,Birmingham,3,3 people in household,63986,15.11
E08000025,Birmingham,4,4 people in household,54503,12.87
E08000025,Birmingham,5,5 people in household,29542,6.98
E08000025,Birmingham,6,6 people in household,15649,3.7
E08000025,Birmingham,7,7 people in household,7273,1.72
E08000025,Birmingham,8,8 or more people in household,6267,1.48
E08000026,Coventry,0,0 people in household,0,0.0
E08000026,Coventry,1,1 person in household,40777,30.4
E08000026,Coventry,2,2 people in household,39787,29.66
E08000026,Coventry,3,3 people in household,22556,16.82
E08000026,Coventry,4,4 people in household,18458,13.76
E08000026,Coventry,5,5 people in household,7827,5.83
E08000026,Coventry,6,6 people in household,2839,2.12
E08000026,Coventry,7,7 people in household,1194,0.89
E08000026,Coventry,8,8 or more people in household,703,0.52
E08000027,Dudley,0,0 people in household,0,0.0
E08000027,Dudley,1,1 person in household,41709,30.43
E08000027,Dudley,2,2 people in household,46526,33.94
E08000027,Dudley,3,3 people in household,22691,16.55
E08000027,Dudley,4,4 people in household,17069,12.45
E08000027,Dudley,5,5 people in household,5961,4.35
E08000027,Dudley,6,6 people in household,1993,1.45
E08000027,Dudley,7,7 people in household,682,0.5
E08000027,Dudley,8,8 or more people in household,436,0.32
E08000028,Sandwell,0,0 people in household,0,0.0
E08000028,Sandwell,1,1 person in household,38042,29.21
E08000028,Sandwell,2,2 people in household,36353,27.91
E08000028,Sandwell,3,3 people in household,21854,16.78
E08000028,Sandwell,4,4 people in household,18634,14.31
E08000028,Sandwell,5,5 people in household,8688,6.67
E08000028,Sandwell,6,6 people in household,3828,2.94
E08000028,Sandwell,7,7 people in household,1556,1.19
E08000028,Sandwell,8,8 or more people in household,1291,0.99
E08000029,Solihull,0,0 people in household,0,0.0
E08000029,Solihull,1,1 person in household,25852,28.89
E08000029,Solihull,2,2 people in household,29628,33.11
E08000029,Solihull,3,3 people in household,14787,16.52
E08000029,Solihull,4,4 people in household,13210,14.76
E08000029,Solihull,5,5 people in household,4263,4.76
E08000029,Solihull,6,6 people in household,1182,1.32
E08000029,Solihull,7,7 people in household,369,0.41
E08000029,Solihull,8,8 or more people in household,193,0.22
E08000030,Walsall,0,0 people in household,0,0.0
E08000030,Walsall,1,1 person in household,32129,28.63
E08000030,Walsall,2,2 people in household,34801,31.01
E08000030,Walsall,3,3 people in household,18679,16.64
E08000030,Walsall,4,4 people in household,15479,13.79
E08000030,Walsall,5,5 people in household,6831,6.09
E08000030,Walsall,6,6 people in household,2730,2.43
E08000030,Walsall,7,7 people in household,958,0.85
E08000030,Walsall,8,8 or more people in household,619,0.55
E08000031,Wolverhampton,0,0 people in household,0,0.0
E08000031,Wolverhampton,1,1 person in household,32468,30.88
E08000031,Wolverhampton,2,2 people in household,30542,29.05
E08000031,Wolverhampton,3,3 people in household,17539,16.68
E08000031,Wolverhampton,4,4 people in household,14599,13.89
E08000031,Wolverhampton,5,5 people in household,6342,6.03
E08000031,Wolverhampton,6,6 people in household,2342,2.23
E08000031,Wolverhampton,7,7 people in household,836,0.8
E08000031,Wolverhampton,8,8 or more people in household,473,0.45
E08000032,Bradford,0,0 people in household,0,0.0
E08000032,Bradford,1,1 person in household,64596,30.78
E08000032,Bradford,2,2 people in household,62123,29.6
E08000032,Bradford,3,3 people in household,30899,14.72
E08000032,Bradford,4,4 people in household,25836,12.31
E08000032,Bradford,5,5 people in household,13918,6.63
E08000032,Bradford,6,6 people in household,6663,3.17
E08000032,Bradford,7,7 people in household,3195,1.52
E08000032,Bradford,8,8 or more people in household,2638,1.26
E08000033,Calderdale,0,0 people in household,0,0.0
E08000033,Calderdale,1,1 person in household,30308,33.5
E08000033,Calderdale,2,2 people in household,30724,33.96
E08000033,Calderdale,3,3 people in household,13462,14.88
E08000033,Calderdale,4,4 people in household,10276,11.36
E08000033,Calderdale,5,5 people in household,3591,3.97
E08000033,Calderdale,6,6 people in household,1286,1.42
E08000033,Calderdale,7,7 people in household,500,0.55
E08000033,Calderdale,8,8 or more people in household,329,0.36
E08000034,Kirklees,0,0 people in household,0,0.0
E08000034,Kirklees,1,1 person in household,55176,31.0
E08000034,Kirklees,2,2 people in household,58537,32.89
E08000034,Kirklees,3,3 people in household,26964,15.15
E08000034,Kirklees,4,4 people in household,22256,12.5
E08000034,Kirklees,5,5 people in household,8985,5.05
E08000034,Kirklees,6,6 people in household,3716,2.09
E08000034,Kirklees,7,7 people in household,1385,0.78
E08000034,Kirklees,8,8 or more people in household,970,0.54
E08000035,Leeds,0,0 people in household,0,0.0
E08000035,Leeds,1,1 person in household,111380,32.62
E08000035,Leeds,2,2 people in household,113145,33.14
E08000035,Leeds,3,3 people in household,51679,15.13
E08000035,Leeds,4,4 people in household,42206,12.36
E08000035,Leeds,5,5 people in household,14687,4.3
E08000035,Leeds,6,6 people in household,5269,1.54
E08000035,Leeds,7,7 people in household,1844,0.54
E08000035,Leeds,8,8 or more people in household,1256,0.37
E08000036,Wakefield,0,0 people in household,0,0.0
E08000036,Wakefield,1,1 person in household,46419,30.32
E08000036,Wakefield,2,2 people in household,54854,35.83
E08000036,Wakefield,3,3 people in household,25346,16.56
E08000036,Wakefield,4,4 people in household,18419,12.03
E08000036,Wakefield,5,5 people in household,5567,3.64
E08000036,Wakefield,6,6 people in household,1633,1.07
E08000036,Wakefield,7,7 people in household,540,0.35
E08000036,Wakefield,8,8 or more people in household,297,0.19
E08000037,Gateshead,0,0 people in household,0,0.0
E08000037,Gateshead,1,1 person in household,30807,34.61
E08000037,Gateshead,2,2 people in household,31231,35.09
E08000037,Gateshead,3,3 people in household,13652,15.34
E08000037,Gateshead,4,4 people in household,9449,10.62
E08000037,Gateshead,5,5 people in household,2589,2.91
E08000037,Gateshead,6,6 people in household,802,0.9
E08000037,Gateshead,7,7 people in household,237,0.27
E08000037,Gateshead,8,8 or more people in household,233,0.26
E09000001,City of London,0,0 people in household,0,0.0
E09000001,City of London,1,1 person in household,2506,51.0
E09000001,City of London,2,2 people in household,1767,35.96
E09000001,City of London,3,3 people in household,371,7.55
E09000001,City of London,4,4 people in household,190,3.87
E09000001,City of London,5,5 people in household,52,1.06
E09000001,City of London,6,6 people in household,11,0.22
E09000001,City of London,7,7 people in household,7,0.14
E09000001,City of London,8,8 or more people in household,10,0.2
E09000002,Barking and Dagenham,0,0 people in household,0,0.0
E09000002,Barking and Dagenham,1,1 person in household,17503,23.68
E09000002,Barking and Dagenham,2,2 people in household,16630,22.5
E09000002,Barking and Dagenham,3,3 people in household,13943,18.87
E09000002,Barking and Dagenham,4,4 people in household,13273,17.96
E09000002,Barking and Dagenham,5,5 people in household,7147,9.67
E09000002,Barking and Dagenham,6,6 people in household,3134,4.24
E09000002,Barking and Dagenham,7,7 people in household,1296,1.75
E09000002,Barking and Dagenham,8,8 or more people in household,976,1.32
E09000003,Barnet,0,0 people in household,0,0.0
E09000003,Barnet,1,1 person in household,41658,27.97
E09000003,Barnet,2,2 people in household,42347,28.44
E09000003,Barnet,3,3 people in household,26841,18.02
E09000003,Barnet,4,4 people in household,22637,15.2
E09000003,Barnet,5,5 people in household,9113,6.12
E09000003,Barnet,6,6 people in household,3563,2.39
E09000003,Barnet,7,7 people in household,1542,1.04
E09000003,Barnet,8,8 or more people in household,1216,0.82
E09000004,Bexley,0,0 people in household,0,0.0
E09000004,Bexley,1,1 person in household,24753,25.97
E09000004,Bexley,2,2 people in household,28297,29.69
E09000004,Bexley,3,3 people in household,17616,18.48
E09000004,Bexley,4,4 people in household,16104,16.9
E09000004,Bexley,5,5 people in household,5852,6.14
E09000004,Bexley,6,6 people in household,1814,1.9
E09000004,Bexley,7,7 people in household,576,0.6
E09000004,Bexley,8,8 or more people in household,287,0.3
E09000005,Brent,0,0 people in household,0,0.0
E09000005,Brent,1,1 person in household,31985,26.97
E09000005,Brent,2,2 people in household,30225,25.48
E09000005,Brent,3,3 people in household,20783,17.52
E09000005,Brent,4,4 people in household,17500,14.75
E09000005,Brent,5,5 people in household,8810,7.43
E09000005,Brent,6,6 people in household,4512,3.8
E09000005,Brent,7,7 people in household,2151,1.81
E09000005,Brent,8,8 or more people in household,2649,2.23
E09000006,Bromley,0,0 people in household,0,0.0
E09000006,Bromley,1,1 person in household,38668,28.47
E09000006,Bromley,2,2 people in household,43242,31.84
E09000006,Bromley,3,3 people in household,24235,17.84
E09000006,Bromley,4,4 people in household,21393,15.75
E09000006,Bromley,5,5 people in household,6040,4.45
E09000006,Bromley,6,6 people in household,1591,1.17
E09000006,Bromley,7,7 people in household,439,0.32
E09000006,Bromley,8,8 or more people in household,219,0.16
E09000007,Camden,0,0 people in household,0,0.0
E09000007,Camden,1,1 person in household,35929,38.73
E09000007,Camden,2,2 people in household,28682,30.92
E09000007,Camden,3,3 people in household,12979,13.99
E09000007,Camden,4,4 people in household,9162,9.88
E09000007,Camden,5,5 people in household,3747,4.04
E09000007,Camden,6,6 people in household,1384,1.49
E09000007,Camden,7,7 people in household,516,0.56
E09000007,Camden,8,8 or more people in household,358,0.39
E09000008,Croydon,0,0 people in household,0,0.0
E09000008,Croydon,1,1 person in household,43091,28.17
E09000008,Croydon,2,2 people in household,45181,29.54
E09000008,Croydon,3,3 people in household,27823,18.19
E09000008,Croydon,4,4 people in household,22312,14.59
E09000008,Croydon,5,5 people in household,9257,6.05
E09000008,Croydon,6,6 people in household,3362,2.2
E09000008,Croydon,7,7 people in household,1174,0.77
E09000008,Croydon,8,8 or more people in household,746,0.49
E09000009,Ealing,0,0 people in household,0,0.0
E09000009,Ealing,1,1 person in household,35662,26.68
E09000009,Ealing,2,2 people in household,35953,26.9
E09000009,Ealing,3,3 people in household,23795,17.8
E09000009,Ealing,4,4 people in household,21198,15.86
E09000009,Ealing,5,5 people in household,9717,7.27
E09000009,Ealing,6,6 people in household,3984,2.98
E09000009,Ealing,7,7 people in household,1722,1.29
E09000009,Ealing,8,8 or more people in household,1627,1.22
E09000010,Enfield,0,0 people in household,0,0.0
E09000010,Enfield,1,1 person in household,31159,25.77
E09000010,Enfield,2,2 people in household,32259,26.68
E09000010,Enfield,3,3 people in household,23242,19.22
E09000010,Enfield,4,4 people in household,19932,16.48
E09000010,Enfield,5,5 people in household,8456,6.99
E09000010,Enfield,6,6 people in household,3194,2.64
E09000010,Enfield,7,7 people in household,1283,1.06
E09000010,Enfield,8,8 or more people in household,1400,1.16
E09000011,Greenwich,0,0 people in household,0,0.0
E09000011,Greenwich,1,1 person in household,34048,29.85
E09000011,Greenwich,2,2 people in household,34464,30.22
E09000011,Greenwich,3,3 people in household,19487,17.09
E09000011,Greenwich,4,4 people in household,15326,13.44
E09000011,Greenwich,5,5 people in household,6348,5.57
E09000011,Greenwich,6,6 people in household,2456,2.15
E09000011,Greenwich,7,7 people in household,986,0.86
E09000011,Greenwich,8,8 or more people in household,938,0.82
E09000012,Hackney,0,0 people in household,0,0.0
E09000012,Hackney,1,1 person in household,34928,32.93
E09000012,Hackney,2,2 people in household,32643,30.77
E09000012,Hackney,3,3 people in household,17123,16.14
E09000012,Hackney,4,4 people in household,11627,10.96
E09000012,Hackney,5,5 people in household,5216,4.92
E09000012,Hackney,6,6 people in household,2220,2.09
E09000012,Hackney,7,7 people in household,1043,0.98
E09000012,Hackney,8,8 or more people in household,1281,1.21
E09000013,Hammersmith and Fulham,0,0 people in household,0,0.0
E09000013,Hammersmith and Fulham,1,1 person in household,29324,36.09
E09000013,Hammersmith and Fulham,2,2 people in household,25940,31.93
E09000013,Hammersmith and Fulham,3,3 people in household,12395,15.26
E09000013,Hammersmith and Fulham,4,4 people in household,8457,10.41
E09000013,Hammersmith and Fulham,5,5 people in household,3447,4.24
E09000013,Hammersmith and Fulham,6,6 people in household,1074,1.32
E09000013,Hammersmith and Fulham,7,7 people in household,375,0.46
E09000013,Hammersmith and Fulham,8,8 or more people in household,232,0.29
E09000014,Haringey,0,0 people in household,0,0.0
E09000014,Haringey,1,1 person in household,32293,30.73
E09000014,Haringey,2,2 people in household,31075,29.57
E09000014,Haringey,3,3 people in household,18054,17.18
E09000014,Haringey,4,4 people in household,13972,13.3
E09000014,Haringey,5,5 people in household,5509,5.24
E09000014,Haringey,6,6 people in household,2059,1.96
E09000014,Haringey,7,7 people in household,1040,0.99
E09000014,Haringey,8,8 or more people in household,1090,1.04
E09000015,Harrow,0,0 people in household,0,0.0
E09000015,Harrow,1,1 person in household,19852,22.15
E09000015,Harrow,2,2 people in household,23520,26.24
E09000015,Harrow,3,3 people in household,17121,19.1
E09000015,Harrow,4,4 people in household,16517,18.43
E09000015,Harrow,5,5 people in household,6788,7.57
E09000015,Harrow,6,6 people in household,3097,3.45
E09000015,Harrow,7,7 people in household,1250,1.39
E09000015,Harrow,8,8 or more people in household,1497,1.67
E09000016,Havering,0,0 people in household,0,0.0
E09000016,Havering,1,1 person in household,26129,25.8
E09000016,Havering,2,2 people in household,30782,30.39
E09000016,Havering,3,3 people in household,18689,18.45
E09000016,Havering,4,4 people in household,16434,16.23
E09000016,Havering,5,5 people in household,6195,6.12
E09000016,Havering,6,6 people in household,1986,1.96
E09000016,Havering,7,7 people in household,686,0.68
E09000016,Havering,8,8 or more people in household,377,0.37
E09000017,Hillingdon,0,0 people in household,0,0.0
E09000017,Hillingdon,1,1 person in household,26635,24.38
E09000017,Hillingdon,2,2 people in household,29597,27.1
E09000017,Hillingdon,3,3 people in household,20484,18.75
E09000017,Hillingdon,4,4 people in household,18849,17.26
E09000017,Hillingdon,5,5 people in household,8247,7.55
E09000017,Hillingdon,6,6 people in household,3229,2.96
E09000017,Hillingdon,7,7 people in household,1223,1.12
E09000017,Hillingdon,8,8 or more people in household,965,0.88
E09000018,Hounslow,0,0 people in household,0,0.0
E09000018,Hounslow,1,1 person in household,26209,25.45
E09000018,Hounslow,2,2 people in household,26606,25.84
E09000018,Hounslow,3,3 people in household,19160,18.61
E09000018,Hounslow,4,4 people in household,17182,16.69
E09000018,Hounslow,5,5 people in household,7626,7.41
E09000018,Hounslow,6,6 people in household,3294,3.2
E09000018,Hounslow,7,7 people in household,1486,1.44
E09000018,Hounslow,8,8 or more people in household,1400,1.36
E09000019,Islington,0,0 people in household,0,0.0
E09000019,Islington,1,1 person in household,34795,36.06
E09000019,Islington,2,2 people in household,32524,33.71
E09000019,Islington,3,3 people in household,14660,15.19
E09000019,Islington,4,4 people in household,9171,9.5
E09000019,Islington,5,5 people in household,3245,3.36
E09000019,Islington,6,6 people in household,1146,1.19
E09000019,Islington,7,7 people in household,478,0.5
E09000019,Islington,8,8 or more people in household,477,0.49
E09000020,Kensington and Chelsea,0,0 people in household,0,0.0
E09000020,Kensington and Chelsea,1,1 person in household,29232,43.71
E09000020,Kensington and Chelsea,2,2 people in household,19338,28.91
E09000020,Kensington and Chelsea,3,3 people in household,8247,12.33
E09000020,Kensington and Chelsea,4,4 people in household,5577,8.34
E09000020,Kensington and Chelsea,5,5 people in household,2619,3.92
E09000020,Kensington and Chelsea,6,6 people in household,1017,1.52
E09000020,Kensington and Chelsea,7,7 people in household,525,0.78
E09000020,Kensington and Chelsea,8,8 or more people in household,329,0.49
