Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000013,North Lincolnshire,3,3 people in household,11507,15.72
E06000013,North Lincolnshire,4,4 people in household,8456,11.56
E06000013,North Lincolnshire,5,5 people in household,2908,3.97
E06000013,North Lincolnshire,6,6 people in household,913,1.25
E06000013,North Lincolnshire,7,7 people in household,259,0.35
E06000013,North Lincolnshire,8,8 or more people in household,142,0.19
E06000014,York,0,0 people in household,0,0.0
E06000014,York,1,1 person in household,26640,31.17
E06000014,York,2,2 people in household,31780,37.19
E06000014,York,3,3 people in household,12557,14.69
E06000014,York,4,4 people in household,10372,12.14
E06000014,York,5,5 people in household,2960,3.46
E06000014,York,6,6 people in household,838,0.98
E06000014,York,7,7 people in household,195,0.23
E06000014,York,8,8 or more people in household,117,0.14
E06000015,Derby,0,0 people in household,0,0.0
E06000015,Derby,1,1 person in household,33054,31.29
E06000015,Derby,2,2 people in household,33738,31.93
E06000015,Derby,3,3 people in household,16423,15.54
E06000015,Derby,4,4 people in household,13325,12.61
E06000015,Derby,5,5 people in household,5234,4.95
E06000015,Derby,6,6 people in household,1998,1.89
E06000015,Derby,7,7 people in household,812,0.77
E06000015,Derby,8,8 or more people in household,1068,1.01
E06000016,Leicester,0,0 people in household,0,0.0
E06000016,Leicester,1,1 person in household,35173,27.61
E06000016,Leicester,2,2 people in household,32527,25.53
E06000016,Leicester,3,3 people in household,20944,16.44
E06000016,Leicester,4,4 people in household,19347,15.19
E06000016,Leicester,5,5 people in household,10455,8.21
E06000016,Leicester,6,6 people in household,4758,3.74
E06000016,Leicester,7,7 people in household,2118,1.66
E06000016,Leicester,8,8 or more people in household,2063,1.62
E06000017,Rutland,0,0 people in household,0,0.0
E06000017,Rutland,1,1 person in household,4786,28.67
E06000017,Rutland,2,2 people in household,6814,40.82
E06000017,Rutland,3,3 people in household,2344,14.04
E06000017,Rutland,4,4 people in household,1994,11.94
E06000017,Rutland,5,5 people in household,583,3.49
E06000017,Rutland,6,6 people in household,126,0.75
E06000017,Rutland,7,7 people in household,36,0.22
E06000017,Rutland,8,8 or more people in household,11,0.07
E06000018,Nottingham,0,0 people in household,0,0.0
E06000018,Nottingham,1,1 person in household,41971,33.65
E06000018,Nottingham,2,2 people in household,37590,30.13
E06000018,Nottingham,3,3 people in household,18696,14.99
E06000018,Nottingham,4,4 people in household,14280,11.45
E06000018,Nottingham,5,5 people in household,6776,5.43
E06000018,Nottingham,6,6 people in household,3115,2.5
E06000018,Nottingham,7,7 people in household,1284,1.03
