Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation
E08000009,Trafford,0,0 people in household,0
E08000009,Trafford,1,1 person in household,28369
E08000009,Trafford,2,2 people in household,30169
E08000009,Trafford,3,3 people in household,16038
E08000009,Trafford,4,4 people in household,14824
E08000009,Trafford,5,5 people in household,4766
E08000009,Trafford,6,6 people in household,1448
E08000009,Trafford,7,7 people in household,410
E08000009,Trafford,8,8 or more people in household,245
E08000010,Wigan,0,0 people in household,0
E08000010,Wigan,1,1 person in household,43950
E08000010,Wigan,2,2 people in household,49686
E08000010,Wigan,3,3 people in household,24370
E08000010,Wigan,4,4 people in household,17771
E08000010,Wigan,5,5 people in household,5425
E08000010,Wigan,6,6 people in household,1366
E08000010,Wigan,7,7 people in household,365
E08000010,Wigan,8,8 or more people in household,172
E08000011,Knowsley,0,0 people in household,0
E08000011,Knowsley,1,1 person in household,20645
E08000011,Knowsley,2,2 people in household,20770
E08000011,Knowsley,3,3 people in household,12369
E08000011,Knowsley,4,4 people in household,8436
E08000011,Knowsley,5,5 people in household,2832
E08000011,Knowsley,6,6 people in household,758
E08000011,Knowsley,7,7 people in household,194
E08000011,Knowsley,8,8 or more people in household,69
E08000012,Liverpool,0,0 people in household,0
E08000012,Liverpool,1,1 person in household,76340
E08000012,Liverpool,2,2 people in household,62338
E08000012,Liverpool,3,3 people in household,32801
E08000012,Liverpool,4,4 people in household,23081
E08000012,Liverpool,5,5 people in household,8364
E08000012,Liverpool,6,6 people in household,2854
E08000012,Liverpool,7,7 people in household,1054
E08000012,Liverpool,8,8 or more people in household,659
E08000013,St. Helens,0,0 people in household,0
E08000013,St. Helens,1,1 person in household,25561
E08000013,St. Helens,2,2 people in household,28261
E08000013,St. Helens,3,3 people in household,13961
E08000013,St. Helens,4,4 people in household,9445
E08000013,St. Helens,5,5 people in household,2798
E08000013,St. Helens,6,6 people in household,716
E08000013,St. Helens,7,7 people in household,188
E08000013,St. Helens,8,8 or more people in household,81
E08000014,Sefton,0,0 people in household,0
E08000014,Sefton,1,1 person in household,41520
E08000014,Sefton,2,2 people in household,40852
E08000014,Sefton,3,3 people in household,19654
E08000014,Sefton,4,4 people in household,14538
E08000014,Sefton,5,5 people in household,4632
E08000014,Sefton,6,6 people in household,1297
E08000014,Sefton,7,7 people in household,334
E08000014,Sefton,8,8 or more people in household,249
E08000015,Wirral,0,0 people in household,0
E08000015,Wirral,1,1 person in household,49688
E08000015,Wirral,2,2 people in household,47215
E08000015,Wirral,3,3 people in household,22413
E08000015,Wirral,4,4 people in household,16632
E08000015,Wirral,5,5 people in household,5260
E08000015,Wirral,6,6 people in household,1411
E08000015,Wirral,7,7 people in household,424
E08000015,Wirral,8,8 or more people in household,209
E08000016,Barnsley,0,0 people in household,0
E08000016,Barnsley,1,1 person in household,33289
E08000016,Barnsley,2,2 people in household,39307
E08000016,Barnsley,3,3 people in household,17958
E08000016,Barnsley,4,4 people in household,12350
E08000016,Barnsley,5,5 people in household,3775
E08000016,Barnsley,6,6 people in household,987
E08000016,Barnsley,7,7 people in household,256
E08000016,Barnsley,8,8 or more people in household,128
E08000017,Doncaster,0,0 people in household,0
E08000017,Doncaster,1,1 person in household,41667
E08000017,Doncaster,2,2 people in household,47031
E08000017,Doncaster,3,3 people in household,21951
E08000017,Doncaster,4,4 people in household,15610
E08000017,Doncaster,5,5 people in household,5110
E08000017,Doncaster,6,6 people in household,1492
E08000017,Doncaster,7,7 people in household,414
E08000017,Doncaster,8,8 or more people in household,204
E08000018,Rotherham,0,0 people in household,0
E08000018,Rotherham,1,1 person in household,34225
E08000018,Rotherham,2,2 people in household,40346
E08000018,Rotherham,3,3 people in household,18652
E08000018,Rotherham,4,4 people in household,13936
E08000018,Rotherham,5,5 people in household,4593
E08000018,Rotherham,6,6 people in household,1387
E08000018,Rotherham,7,7 people in household,471
E08000018,Rotherham,8,8 or more people in household,315
E08000019,Sheffield,0,0 people in household,0
E08000019,Sheffield,1,1 person in household,75759
E08000019,Sheffield,2,2 people in household,77636
E08000019,Sheffield,3,3 people in household,34992
E08000019,Sheffield,4,4 people in household,27650
E08000019,Sheffield,5,5 people in household,10083
E08000019,Sheffield,6,6 people in household,3605
E08000019,Sheffield,7,7 people in household,1306
E08000019,Sheffield,8,8 or more people in household,919
E08000021,Newcastle upon Tyne,0,0 people in household,0
E08000021,Newcastle upon Tyne,1,1 person in household,42031
E08000021,Newcastle upon Tyne,2,2 people in household,39194
E08000021,Newcastle upon Tyne,3,3 people in household,18742
E08000021,Newcastle upon Tyne,4,4 people in household,13929
E08000021,Newcastle upon Tyne,5,5 people in household,5284
E08000021,Newcastle upon Tyne,6,6 people in household,2212
E08000021,Newcastle upon Tyne,7,7 people in household,805
E08000021,Newcastle upon Tyne,8,8 or more people in household,600
E08000022,North Tyneside,0,0 people in household,0
E08000022,North Tyneside,1,1 person in household,33553
E08000022,North Tyneside,2,2 people in household,33266
E08000022,North Tyneside,3,3 people in household,14822
E08000022,North Tyneside,4,4 people in household,10971
E08000022,North Tyneside,5,5 people in household,2735
E08000022,North Tyneside,6,6 people in household,680
E08000022,North Tyneside,7,7 people in household,149
E08000022,North Tyneside,8,8 or more people in household,56
E08000023,South Tyneside,0,0 people in household,0
E08000023,South Tyneside,1,1 person in household,24550
E08000023,South Tyneside,2,2 people in household,22878
E08000023,South Tyneside,3,3 people in household,11001
E08000023,South Tyneside,4,4 people in household,7092
E08000023,South Tyneside,5,5 people in household,2023
E08000023,South Tyneside,6,6 people in household,538
E08000023,South Tyneside,7,7 people in household,138
E08000023,South Tyneside,8,8 or more people in household,69
E08000024,Sunderland,0,0 people in household,0
E08000024,Sunderland,1,1 person in household,40368
E08000024,Sunderland,2,2 people in household,42256
E08000024,Sunderland,3,3 people in household,20562
E08000024,Sunderland,4,4 people in household,13589
E08000024,Sunderland,5,5 people in household,3809
E08000024,Sunderland,6,6 people in household,1062
E08000024,Sunderland,7,7 people in household,342
E08000024,Sunderland,8,8 or more people in household,194
E08000025,Birmingham,0,0 people in household,0
E08000025,Birmingham,1,1 person in household,133224
E08000025,Birmingham,2,2 people in household,113012
E08000025,Birmingham,3,3 people in household,63986
E08000025,Birmingham,4,4 people in household,54503
E08000025,Birmingham,5,5 people in household,29542
E08000025,Birmingham,6,6 people in household,15649
E08000025,Birmingham,7,7 people in household,7273
E08000025,Birmingham,8,8 or more people in household,6267
E08000026,Coventry,0,0 people in household,0
E08000026,Coventry,1,1 person in household,40777
E08000026,Coventry,2,2 people in household,39787
E08000026,Coventry,3,3 people in household,22556
E08000026,Coventry,4,4 people in household,18458
E08000026,Coventry,5,5 people in household,7827
E08000026,Coventry,6,6 people in household,2839
E08000026,Coventry,7,7 people in household,1194
E08000026,Coventry,8,8 or more people in household,703
E08000027,Dudley,0,0 people in household,0
E08000027,Dudley,1,1 person in household,41709
E08000027,Dudley,2,2 people in household,46526
E08000027,Dudley,3,3 people in household,22691
E08000027,Dudley,4,4 people in household,17069
E08000027,Dudley,5,5 people in household,5961
E08000027,Dudley,6,6 people in household,1993
E08000027,Dudley,7,7 people in household,682
E08000027,Dudley,8,8 or more people in household,436
E08000028,Sandwell,0,0 people in household,0
E08000028,Sandwell,1,1 person in household,38042
E08000028,Sandwell,2,2 people in household,36353
E08000028,Sandwell,3,3 people in household,21854
E08000028,Sandwell,4,4 people in household,18634
E08000028,Sandwell,5,5 people in household,8688
E08000028,Sandwell,6,6 people in household,3828
E08000028,Sandwell,7,7 people in household,1556
E08000028,Sandwell,8,8 or more people in household,1291
E08000029,Solihull,0,0 people in household,0
E08000029,Solihull,1,1 person in household,25852
E08000029,Solihull,2,2 people in household,29628
E08000029,Solihull,3,3 people in household,14787
E08000029,Solihull,4,4 people in household,13210
E08000029,Solihull,5,5 people in household,4263
E08000029,Solihull,6,6 people in household,1182
E08000029,Solihull,7,7 people in household,369
E08000029,Solihull,8,8 or more people in household,193
E08000030,Walsall,0,0 people in household,0
E08000030,Walsall,1,1 person in household,32129
E08000030,Walsall,2,2 people in household,34801
E08000030,Walsall,3,3 people in household,18679
E08000030,Walsall,4,4 people in household,15479
E08000030,Walsall,5,5 people in household,6831
E08000030,Walsall,6,6 people in household,2730
E08000030,Walsall,7,7 people in household,958
E08000030,Walsall,8,8 or more people in household,619
E08000031,Wolverhampton,0,0 people in household,0
E08000031,Wolverhampton,1,1 person in household,32468
E08000031,Wolverhampton,2,2 people in household,30542
E08000031,Wolverhampton,3,3 people in household,17539
E08000031,Wolverhampton,4,4 people in household,14599
E08000031,Wolverhampton,5,5 people in household,6342
E08000031,Wolverhampton,6,6 people in household,2342
E08000031,Wolverhampton,7,7 people in household,836
E08000031,Wolverhampton,8,8 or more people in household,473
E08000032,Bradford,0,0 people in household,0
E08000032,Bradford,1,1 person in household,64596
E08000032,Bradford,2,2 people in household,62123
E08000032,Bradford,3,3 people in household,30899
E08000032,Bradford,4,4 people in household,25836
E08000032,Bradford,5,5 people in household,13918
E08000032,Bradford,6,6 people in household,6663
E08000032,Bradford,7,7 people in household,3195
E08000032,Bradford,8,8 or more people in household,2638
E08000033,Calderdale,0,0 people in household,0
E08000033,Calderdale,1,1 person in household,30308
E08000033,Calderdale,2,2 people in household,30724
E08000033,Calderdale,3,3 people in household,13462
E08000033,Calderdale,4,4 people in household,10276
E08000033,Calderdale,5,5 people in household,3591
E08000033,Calderdale,6,6 people in household,1286
E08000033,Calderdale,7,7 people in household,500
E08000033,Calderdale,8,8 or more people in household,329
E08000034,Kirklees,0,0 people in household,0
E08000034,Kirklees,1,1 person in household,55176
E08000034,Kirklees,2,2 people in household,58537
E08000034,Kirklees,3,3 people in household,26964
E08000034,Kirklees,4,4 people in household,22256
E08000034,Kirklees,5,5 people in household,8985
E08000034,Kirklees,6,6 people in household,3716
E08000034,Kirklees,7,7 people in household,1385
E08000034,Kirklees,8,8 or more people in household,970
E08000035,Leeds,0,0 people in household,0
E08000035,Leeds,1,1 person in household,111380
E08000035,Leeds,2,2 people in household,113145
E08000035,Leeds,3,3 people in household,51679
E08000035,Leeds,4,4 people in household,42206
E08000035,Leeds,5,5 people in household,14687
E08000035,Leeds,6,6 people in household,5269
E08000035,Leeds,7,7 people in household,1844
E08000035,Leeds,8,8 or more people in household,1256
E08000036,Wakefield,0,0 people in household,0
E08000036,Wakefield,1,1 person in household,46419
E08000036,Wakefield,2,2 people in household,54854
E08000036,Wakefield,3,3 people in household,25346
E08000036,Wakefield,4,4 people in household,18419
E08000036,Wakefield,5,5 people in household,5567
E08000036,Wakefield,6,6 people in household,1633
E08000036,Wakefield,7,7 people in household,540
E08000036,Wakefield,8,8 or more people in household,297
E08000037,Gateshead,0,0 people in household,0
E08000037,Gateshead,1,1 person in household,30807
E08000037,Gateshead,2,2 people in household,31231
E08000037,Gateshead,3,3 people in household,13652
E08000037,Gateshead,4,4 people in household,9449
E08000037,Gateshead,5,5 people in household,2589
E08000037,Gateshead,6,6 people in household,802
E08000037,Gateshead,7,7 people in household,237
E08000037,Gateshead,8,8 or more people in household,233
E09000001,City of London,0,0 people in household,0
E09000001,City of London,1,1 person in household,2506
E09000001,City of London,2,2 people in household,1767
E09000001,City of London,3,3 people in household,371
E09000001,City of London,4,4 people in household,190
E09000001,City of London,5,5 people in household,52
E09000001,City of London,6,6 people in household,11
E09000001,City of London,7,7 people in household,7
E09000001,City of London,8,8 or more people in household,10
E09000002,Barking and Dagenham,0,0 people in household,0
E09000002,Barking and Dagenham,1,1 person in household,17503
E09000002,Barking and Dagenham,2,2 people in household,16630
E09000002,Barking and Dagenham,3,3 people in household,13943
E09000002,Barking and Dagenham,4,4 people in household,13273
E09000002,Barking and Dagenham,5,5 people in household,7147
E09000002,Barking and Dagenham,6,6 people in household,3134
E09000002,Barking and Dagenham,7,7 people in household,1296
E09000002,Barking and Dagenham,8,8 or more people in household,976
E09000003,Barnet,0,0 people in household,0
E09000003,Barnet,1,1 person in household,41658
E09000003,Barnet,2,2 people in household,42347
E09000003,Barnet,3,3 people in household,26841
E09000003,Barnet,4,4 people in household,22637
E09000003,Barnet,5,5 people in household,9113
E09000003,Barnet,6,6 people in household,3563
E09000003,Barnet,7,7 people in household,1542
E09000003,Barnet,8,8 or more people in household,1216
E09000004,Bexley,0,0 people in household,0
E09000004,Bexley,1,1 person in household,24753
E09000004,Bexley,2,2 people in household,28297
E09000004,Bexley,3,3 people in household,17616
E09000004,Bexley,4,4 people in household,16104
E09000004,Bexley,5,5 people in household,5852
E09000004,Bexley,6,6 people in household,1814
E09000004,Bexley,7,7 people in household,576
E09000004,Bexley,8,8 or more people in household,287
E09000005,Brent,0,0 people in household,0
E09000005,Brent,1,1 person in household,31985
E09000005,Brent,2,2 people in household,30225
E09000005,Brent,3,3 people in household,20783
E09000005,Brent,4,4 people in household,17500
E09000005,Brent,5,5 people in household,8810
E09000005,Brent,6,6 people in household,4512
E09000005,Brent,7,7 people in household,2151
E09000005,Brent,8,8 or more people in household,2649
E09000006,Bromley,0,0 people in household,0
E09000006,Bromley,1,1 person in household,38668
E09000006,Bromley,2,2 people in household,43242
E09000006,Bromley,3,3 people in household,24235
E09000006,Bromley,4,4 people in household,21393
E09000006,Bromley,5,5 people in household,6040
E09000006,Bromley,6,6 people in household,1591
E09000006,Bromley,7,7 people in household,439
E09000006,Bromley,8,8 or more people in household,219
E09000007,Camden,0,0 people in household,0
E09000007,Camden,1,1 person in household,35929
E09000007,Camden,2,2 people in household,28682
E09000007,Camden,3,3 people in household,12979
E09000007,Camden,4,4 people in household,9162
E09000007,Camden,5,5 people in household,3747
E09000007,Camden,6,6 people in household,1384
E09000007,Camden,7,7 people in household,516
E09000007,Camden,8,8 or more people in household,358
E09000008,Croydon,0,0 people in household,0
E09000008,Croydon,1,1 person in household,43091
E09000008,Croydon,2,2 people in household,45181
E09000008,Croydon,3,3 people in household,27823
E09000008,Croydon,4,4 people in household,22312
E09000008,Croydon,5,5 people in household,9257
E09000008,Croydon,6,6 people in household,3362
E09000008,Croydon,7,7 people in household,1174
E09000008,Croydon,8,8 or more people in household,746
E09000009,Ealing,0,0 people in household,0
E09000009,Ealing,1,1 person in household,35662
E09000009,Ealing,2,2 people in household,35953
E09000009,Ealing,3,3 people in household,23795
E09000009,Ealing,4,4 people in household,21198
E09000009,Ealing,5,5 people in household,9717
E09000009,Ealing,6,6 people in household,3984
E09000009,Ealing,7,7 people in household,1722
E09000009,Ealing,8,8 or more people in household,1627
E09000010,Enfield,0,0 people in household,0
E09000010,Enfield,1,1 person in household,31159
E09000010,Enfield,2,2 people in household,32259
E09000010,Enfield,3,3 people in household,23242
E09000010,Enfield,4,4 people in household,19932
E09000010,Enfield,5,5 people in household,8456
E09000010,Enfield,6,6 people in household,3194
E09000010,Enfield,7,7 people in household,1283
E09000010,Enfield,8,8 or more people in household,1400
E09000011,Greenwich,0,0 people in household,0
E09000011,Greenwich,1,1 person in household,34048
E09000011,Greenwich,2,2 people in household,34464
E09000011,Greenwich,3,3 people in household,19487
E09000011,Greenwich,4,4 people in household,15326
E09000011,Greenwich,5,5 people in household,6348
E09000011,Greenwich,6,6 people in household,2456
E09000011,Greenwich,7,7 people in household,986
E09000011,Greenwich,8,8 or more people in household,938
E09000012,Hackney,0,0 people in household,0
E09000012,Hackney,1,1 person in household,34928
E09000012,Hackney,2,2 people in household,32643
E09000012,Hackney,3,3 people in household,17123
E09000012,Hackney,4,4 people in household,11627
E09000012,Hackney,5,5 people in household,5216
E09000012,Hackney,6,6 people in household,2220
E09000012,Hackney,7,7 people in household,1043
E09000012,Hackney,8,8 or more people in household,1281
E09000013,Hammersmith and Fulham,0,0 people in household,0
E09000013,Hammersmith and Fulham,1,1 person in household,29324
E09000013,Hammersmith and Fulham,2,2 people in household,25940
E09000013,Hammersmith and Fulham,3,3 people in household,12395
E09000013,Hammersmith and Fulham,4,4 people in household,8457
E09000013,Hammersmith and Fulham,5,5 people in household,3447
E09000013,Hammersmith and Fulham,6,6 people in household,1074
E09000013,Hammersmith and Fulham,7,7 people in household,375
E09000013,Hammersmith and Fulham,8,8 or more people in household,232
E09000014,Haringey,0,0 people in household,0
E09000014,Haringey,1,1 person in household,32293
E09000014,Haringey,2,2 people in household,31075
E09000014,Haringey,3,3 people in household,18054
E09000014,Haringey,4,4 people in household,13972
E09000014,Haringey,5,5 people in household,5509
E09000014,Haringey,6,6 people in household,2059
E09000014,Haringey,7,7 people in household,1040
E09000014,Haringey,8,8 or more people in household,1090
E09000015,Harrow,0,0 people in household,0
E09000015,Harrow,1,1 person in household,19852
E09000015,Harrow,2,2 people in household,23520
E09000015,Harrow,3,3 people in household,17121
E09000015,Harrow,4,4 people in household,16517
E09000015,Harrow,5,5 people in household,6788
E09000015,Harrow,6,6 people in household,3097
E09000015,Harrow,7,7 people in household,1250
E09000015,Harrow,8,8 or more people in household,1497
E09000016,Havering,0,0 people in household,0
E09000016,Havering,1,1 person in household,26129
E09000016,Havering,2,2 people in household,30782
E09000016,Havering,3,3 people in household,18689
E09000016,Havering,4,4 people in household,16434
E09000016,Havering,5,5 people in household,6195
E09000016,Havering,6,6 people in household,1986
E09000016,Havering,7,7 people in household,686
E09000016,Havering,8,8 or more people in household,377
E09000017,Hillingdon,0,0 people in household,0
E09000017,Hillingdon,1,1 person in household,26635
E09000017,Hillingdon,2,2 people in household,29597
E09000017,Hillingdon,3,3 people in household,20484
E09000017,Hillingdon,4,4 people in household,18849
E09000017,Hillingdon,5,5 people in household,8247
E09000017,Hillingdon,6,6 people in household,3229
E09000017,Hillingdon,7,7 people in household,1223
E09000017,Hillingdon,8,8 or more people in household,965
E09000018,Hounslow,0,0 people in household,0
E09000018,Hounslow,1,1 person in household,26209
E09000018,Hounslow,2,2 people in household,26606
E09000018,Hounslow,3,3 people in household,19160
E09000018,Hounslow,4,4 people in household,17182
E09000018,Hounslow,5,5 people in household,7626
E09000018,Hounslow,6,6 people in household,3294
E09000018,Hounslow,7,7 people in household,1486
E09000018,Hounslow,8,8 or more people in household,1400
E09000019,Islington,0,0 people in household,0
E09000019,Islington,1,1 person in household,34795
E09000019,Islington,2,2 people in household,32524
E09000019,Islington,3,3 people in household,14660
E09000019,Islington,4,4 people in household,9171
E09000019,Islington,5,5 people in household,3245
E09000019,Islington,6,6 people in household,1146
E09000019,Islington,7,7 people in household,478
E09000019,Islington,8,8 or more people in household,477
E09000020,Kensington and Chelsea,0,0 people in household,0
E09000020,Kensington and Chelsea,1,1 person in household,29232
E09000020,Kensington and Chelsea,2,2 people in household,19338
E09000020,Kensington and Chelsea,3,3 people in household,8247
E09000020,Kensington and Chelsea,4,4 people in household,5577
E09000020,Kensington and Chelsea,5,5 people in household,2619
E09000020,Kensington and Chelsea,6,6 people in household,1017
E09000020,Kensington and Chelsea,7,7 people in household,525
E09000020,Kensington and Chelsea,8,8 or more people in household,329
E09000021,Kingston upon Thames,0,0 people in household,0
E09000021,Kingston upon Thames,1,1 person in household,17716
E09000021,Kingston upon Thames,2,2 people in household,19953
E09000021,Kingston upon Thames,3,3 people in household,11957
E09000021,Kingston upon Thames,4,4 people in household,11015
E09000021,Kingston upon Thames,5,5 people in household,3482
E09000021,Kingston upon Thames,6,6 people in household,1062
E09000021,Kingston upon Thames,7,7 people in household,283
E09000021,Kingston upon Thames,8,8 or more people in household,158
E09000022,Lambeth,0,0 people in household,0
E09000022,Lambeth,1,1 person in household,43154
E09000022,Lambeth,2,2 people in household,44849
E09000022,Lambeth,3,3 people in household,22469
E09000022,Lambeth,4,4 people in household,14991
E09000022,Lambeth,5,5 people in household,5477
E09000022,Lambeth,6,6 people in household,2164
E09000022,Lambeth,7,7 people in household,824
E09000022,Lambeth,8,8 or more people in household,758
E09000023,Lewisham,0,0 people in household,0
E09000023,Lewisham,1,1 person in household,37147
E09000023,Lewisham,2,2 people in household,38233
E09000023,Lewisham,3,3 people in household,21153
E09000023,Lewisham,4,4 people in household,15941
E09000023,Lewisham,5,5 people in household,5867
E09000023,Lewisham,6,6 people in household,2371
E09000023,Lewisham,7,7 people in household,874
E09000023,Lewisham,8,8 or more people in household,809
E09000024,Merton,0,0 people in household,0
E09000024,Merton,1,1 person in household,20464
E09000024,Merton,2,2 people in household,24679
E09000024,Merton,3,3 people in household,15139
E09000024,Merton,4,4 people in household,13427
E09000024,Merton,5,5 people in household,5062
E09000024,Merton,6,6 people in household,1809
E09000024,Merton,7,7 people in household,639
E09000024,Merton,8,8 or more people in household,510
E09000025,Newham,0,0 people in household,0
E09000025,Newham,1,1 person in household,27038
E09000025,Newham,2,2 people in household,29262
E09000025,Newham,3,3 people in household,19830
E09000025,Newham,4,4 people in household,17444
E09000025,Newham,5,5 people in household,10555
E09000025,Newham,6,6 people in household,5546
E09000025,Newham,7,7 people in household,2700
E09000025,Newham,8,8 or more people in household,3133
E09000026,Redbridge,0,0 people in household,0
E09000026,Redbridge,1,1 person in household,23886
E09000026,Redbridge,2,2 people in household,24386
E09000026,Redbridge,3,3 people in household,18837
E09000026,Redbridge,4,4 people in household,19096
E09000026,Redbridge,5,5 people in household,9526
E09000026,Redbridge,6,6 people in household,4295
E09000026,Redbridge,7,7 people in household,1955
E09000026,Redbridge,8,8 or more people in household,1732
E09000027,Richmond upon Thames,0,0 people in household,0
E09000027,Richmond upon Thames,1,1 person in household,23871
E09000027,Richmond upon Thames,2,2 people in household,25216
E09000027,Richmond upon Thames,3,3 people in household,13861
E09000027,Richmond upon Thames,4,4 people in household,12962
E09000027,Richmond upon Thames,5,5 people in household,3615
E09000027,Richmond upon Thames,6,6 people in household,841
E09000027,Richmond upon Thames,7,7 people in household,228
E09000027,Richmond upon Thames,8,8 or more people in household,111
E09000028,Southwark,0,0 people in household,0
E09000028,Southwark,1,1 person in household,43348
E09000028,Southwark,2,2 people in household,42744
E09000028,Southwark,3,3 people in household,21078
E09000028,Southwark,4,4 people in household,14423
E09000028,Southwark,5,5 people in household,5619
E09000028,Southwark,6,6 people in household,2133
E09000028,Southwark,7,7 people in household,739
E09000028,Southwark,8,8 or more people in household,734
E09000029,Sutton,0,0 people in household,0
E09000029,Sutton,1,1 person in household,22197
E09000029,Sutton,2,2 people in household,24218
E09000029,Sutton,3,3 people in household,15236
E09000029,Sutton,4,4 people in household,14150
E09000029,Sutton,5,5 people in household,4648
E09000029,Sutton,6,6 people in household,1359
E09000029,Sutton,7,7 people in household,354
E09000029,Sutton,8,8 or more people in household,189
E09000030,Tower Hamlets,0,0 people in household,0
E09000030,Tower Hamlets,1,1 person in household,38531
E09000030,Tower Hamlets,2,2 people in household,37437
E09000030,Tower Hamlets,3,3 people in household,17229
E09000030,Tower Hamlets,4,4 people in household,12514
E09000030,Tower Hamlets,5,5 people in household,7442
E09000030,Tower Hamlets,6,6 people in household,4036
E09000030,Tower Hamlets,7,7 people in household,1747
E09000030,Tower Hamlets,8,8 or more people in household,1603
E09000031,Waltham Forest,0,0 people in household,0
E09000031,Waltham Forest,1,1 person in household,26696
E09000031,Waltham Forest,2,2 people in household,29957
E09000031,Waltham Forest,3,3 people in household,18668
E09000031,Waltham Forest,4,4 people in household,15319
E09000031,Waltham Forest,5,5 people in household,6585
E09000031,Waltham Forest,6,6 people in household,2968
E09000031,Waltham Forest,7,7 people in household,1329
E09000031,Waltham Forest,8,8 or more people in household,1379
E09000032,Wandsworth,0,0 people in household,0
E09000032,Wandsworth,1,1 person in household,41132
E09000032,Wandsworth,2,2 people in household,46877
E09000032,Wandsworth,3,3 people in household,23047
E09000032,Wandsworth,4,4 people in household,17358
E09000032,Wandsworth,5,5 people in household,6119
E09000032,Wandsworth,6,6 people in household,1839
E09000032,Wandsworth,7,7 people in household,609
E09000032,Wandsworth,8,8 or more people in household,412
E09000033,Westminster,0,0 people in household,0
E09000033,Westminster,1,1 person in household,40443
E09000033,Westminster,2,2 people in household,28605
E09000033,Westminster,3,3 people in household,12069
E09000033,Westminster,4,4 people in household,7583
E09000033,Westminster,5,5 people in household,3620
E09000033,Westminster,6,6 people in household,1455
E09000033,Westminster,7,7 people in household,491
E09000033,Westminster,8,8 or more people in household,549
E10000003,Cambridgeshire,0,0 people in household,0
E10000003,Cambridgeshire,1,1 person in household,78876
E10000003,Cambridgeshire,2,2 people in household,101007
E10000003,Cambridgeshire,3,3 people in household,44288
E10000003,Cambridgeshire,4,4 people in household,37229
E10000003,Cambridgeshire,5,5 people in household,11189
E10000003,Cambridgeshire,6,6 people in household,3164
E10000003,Cambridgeshire,7,7 people in household,936
E10000003,Cambridgeshire,8,8 or more people in household,945
E10000006,Cumbria,0,0 people in household,0
E10000006,Cumbria,1,1 person in household,77432
E10000006,Cumbria,2,2 people in household,85807
E10000006,Cumbria,3,3 people in household,31836
E10000006,Cumbria,4,4 people in household,24174
E10000006,Cumbria,5,5 people in household,7146
E10000006,Cumbria,6,6 people in household,1845
E10000006,Cumbria,7,7 people in household,455
E10000006,Cumbria,8,8 or more people in household,259
E10000007,Derbyshire,0,0 people in household,0
E10000007,Derbyshire,1,1 person in household,109710
E10000007,Derbyshire,2,2 people in household,133808
E10000007,Derbyshire,3,3 people in household,54098
E10000007,Derbyshire,4,4 people in household,40938
E10000007,Derbyshire,5,5 people in household,11551
E10000007,Derbyshire,6,6 people in household,2977
E10000007,Derbyshire,7,7 people in household,782
E10000007,Derbyshire,8,8 or more people in household,349
E10000008,Devon,0,0 people in household,0
E10000008,Devon,1,1 person in household,107230
E10000008,Devon,2,2 people in household,137589
E10000008,Devon,3,3 people in household,49088
E10000008,Devon,4,4 people in household,40025
E10000008,Devon,5,5 people in household,12975
E10000008,Devon,6,6 people in household,3912
E10000008,Devon,7,7 people in household,1119
E10000008,Devon,8,8 or more people in household,683
E10000011,East Sussex,0,0 people in household,0
E10000011,East Sussex,1,1 person in household,76642
E10000011,East Sussex,2,2 people in household,88850
E10000011,East Sussex,3,3 people in household,34506
E10000011,East Sussex,4,4 people in household,27253
E10000011,East Sussex,5,5 people in household,9047
E10000011,East Sussex,6,6 people in household,2655
E10000011,East Sussex,7,7 people in household,787
E10000011,East Sussex,8,8 or more people in household,378
E10000012,Essex,0,0 people in household,0
E10000012,Essex,1,1 person in household,177924
E10000012,Essex,2,2 people in household,218402
E10000012,Essex,3,3 people in household,102291
E10000012,Essex,4,4 people in household,88815
E10000012,Essex,5,5 people in household,27939
E10000012,Essex,6,6 people in household,7809
E10000012,Essex,7,7 people in household,2231
E10000012,Essex,8,8 or more people in household,1061
E10000013,Gloucestershire,0,0 people in household,0
E10000013,Gloucestershire,1,1 person in household,84836
E10000013,Gloucestershire,2,2 people in household,103560
E10000013,Gloucestershire,3,3 people in household,41741
E10000013,Gloucestershire,4,4 people in household,34727
E10000013,Gloucestershire,5,5 people in household,10496
E10000013,Gloucestershire,6,6 people in household,2871
E10000013,Gloucestershire,7,7 people in household,769
E10000013,Gloucestershire,8,8 or more people in household,427
E10000014,Hampshire,0,0 people in household,0
E10000014,Hampshire,1,1 person in household,161702
E10000014,Hampshire,2,2 people in household,218926
E10000014,Hampshire,3,3 people in household,93717
E10000014,Hampshire,4,4 people in household,80397
E10000014,Hampshire,5,5 people in household,23871
E10000014,Hampshire,6,6 people in household,6506
E10000014,Hampshire,7,7 people in household,1712
E10000014,Hampshire,8,8 or more people in household,864
E10000015,Hertfordshire,0,0 people in household,0
E10000015,Hertfordshire,1,1 person in household,134069
E10000015,Hertfordshire,2,2 people in household,154744
E10000015,Hertfordshire,3,3 people in household,83533
E10000015,Hertfordshire,4,4 people in household,77205
E10000015,Hertfordshire,5,5 people in household,23898
E10000015,Hertfordshire,6,6 people in household,6604
E10000015,Hertfordshire,7,7 people in household,1764
E10000015,Hertfordshire,8,8 or more people in household,1075
E10000016,Kent,0,0 people in household,0
E10000016,Kent,1,1 person in household,183814
