Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation
E06000015,Derby,8,8 or more people in household,1068
E06000016,Leicester,0,0 people in household,0
E06000016,Leicester,1,1 person in household,35173
E06000016,Leicester,2,2 people in household,32527
E06000016,Leicester,3,3 people in household,20944
E06000016,Leicester,4,4 people in household,19347
E06000016,Leicester,5,5 people in household,10455
E06000016,Leicester,6,6 people in household,4758
E06000016,Leicester,7,7 people in household,2118
E06000016,Leicester,8,8 or more people in household,2063
E06000017,Rutland,0,0 people in household,0
E06000017,Rutland,1,1 person in household,4786
E06000017,Rutland,2,2 people in household,6814
E06000017,Rutland,3,3 people in household,2344
E06000017,Rutland,4,4 people in household,1994
E06000017,Rutland,5,5 people in household,583
E06000017,Rutland,6,6 people in household,126
E06000017,Rutland,7,7 people in household,36
E06000017,Rutland,8,8 or more people in household,11
E06000018,Nottingham,0,0 people in household,0
E06000018,Nottingham,1,1 person in household,41971
E06000018,Nottingham,2,2 people in household,37590
E06000018,Nottingham,3,3 people in household,18696
E06000018,Nottingham,4,4 people in household,14280
E06000018,Nottingham,5,5 people in household,6776
E06000018,Nottingham,6,6 people in household,3115
E06000018,Nottingham,7,7 people in household,1284
E06000018,Nottingham,8,8 or more people in household,1033
E06000019,Herefordshire,0,0 people in household,0
E06000019,Herefordshire,1,1 person in household,25434
E06000019,Herefordshire,2,2 people in household,32073
E06000019,Herefordshire,3,3 people in household,11947
E06000019,Herefordshire,4,4 people in household,9298
E06000019,Herefordshire,5,5 people in household,2946
E06000019,Herefordshire,6,6 people in household,796
E06000019,Herefordshire,7,7 people in household,228
E06000019,Herefordshire,8,8 or more people in household,106
E06000020,Telford and Wrekin,0,0 people in household,0
E06000020,Telford and Wrekin,1,1 person in household,21205
E06000020,Telford and Wrekin,2,2 people in household,27059
E06000020,Telford and Wrekin,3,3 people in household,13055
E06000020,Telford and Wrekin,4,4 people in household,9695
E06000020,Telford and Wrekin,5,5 people in household,3620
E06000020,Telford and Wrekin,6,6 people in household,1232
E06000020,Telford and Wrekin,7,7 people in household,410
E06000020,Telford and Wrekin,8,8 or more people in household,234
E06000021,Stoke-on-Trent,0,0 people in household,0
E06000021,Stoke-on-Trent,1,1 person in household,36179
E06000021,Stoke-on-Trent,2,2 people in household,36854
E06000021,Stoke-on-Trent,3,3 people in household,17327
E06000021,Stoke-on-Trent,4,4 people in household,12078
E06000021,Stoke-on-Trent,5,5 people in household,5033
E06000021,Stoke-on-Trent,6,6 people in household,1783
E06000021,Stoke-on-Trent,7,7 people in household,715
E06000021,Stoke-on-Trent,8,8 or more people in household,429
E06000022,Bath and North East Somerset,0,0 people in household,0
E06000022,Bath and North East Somerset,1,1 person in household,23077
E06000022,Bath and North East Somerset,2,2 people in household,28379
E06000022,Bath and North East Somerset,3,3 people in household,12065
E06000022,Bath and North East Somerset,4,4 people in household,11067
E06000022,Bath and North East Somerset,5,5 people in household,3378
E06000022,Bath and North East Somerset,6,6 people in household,931
E06000022,Bath and North East Somerset,7,7 people in household,246
E06000022,Bath and North East Somerset,8,8 or more people in household,107
E06000023,Bristol,0,0 people in household,0
E06000023,Bristol,1,1 person in household,57862
E06000023,Bristol,2,2 people in household,64236
E06000023,Bristol,3,3 people in household,30135
E06000023,Bristol,4,4 people in household,25245
E06000023,Bristol,5,5 people in household,8788
E06000023,Bristol,6,6 people in household,3225
E06000023,Bristol,7,7 people in household,1181
E06000023,Bristol,8,8 or more people in household,967
E06000024,North Somerset,0,0 people in household,0
E06000024,North Somerset,1,1 person in household,29090
E06000024,North Somerset,2,2 people in household,34811
E06000024,North Somerset,3,3 people in household,13872
E06000024,North Somerset,4,4 people in household,12183
E06000024,North Somerset,5,5 people in household,3475
E06000024,North Somerset,6,6 people in household,877
E06000024,North Somerset,7,7 people in household,222
E06000024,North Somerset,8,8 or more people in household,119
E06000025,South Gloucestershire,0,0 people in household,0
E06000025,South Gloucestershire,1,1 person in household,30747
E06000025,South Gloucestershire,2,2 people in household,42563
E06000025,South Gloucestershire,3,3 people in household,19821
E06000025,South Gloucestershire,4,4 people in household,17980
E06000025,South Gloucestershire,5,5 people in household,5059
E06000025,South Gloucestershire,6,6 people in household,1360
E06000025,South Gloucestershire,7,7 people in household,382
E06000025,South Gloucestershire,8,8 or more people in household,189
E06000026,Plymouth,0,0 people in household,0
E06000026,Plymouth,1,1 person in household,37338
E06000026,Plymouth,2,2 people in household,40178
E06000026,Plymouth,3,3 people in household,17651
E06000026,Plymouth,4,4 people in household,13129
E06000026,Plymouth,5,5 people in household,4290
E06000026,Plymouth,6,6 people in household,1347
E06000026,Plymouth,7,7 people in household,379
E06000026,Plymouth,8,8 or more people in household,245
E06000027,Torbay,0,0 people in household,0
E06000027,Torbay,1,1 person in household,21883
E06000027,Torbay,2,2 people in household,22917
E06000027,Torbay,3,3 people in household,8508
E06000027,Torbay,4,4 people in household,6310
E06000027,Torbay,5,5 people in household,2235
E06000027,Torbay,6,6 people in household,714
E06000027,Torbay,7,7 people in household,245
E06000027,Torbay,8,8 or more people in household,182
E06000030,Swindon,0,0 people in household,0
E06000030,Swindon,1,1 person in household,27219
E06000030,Swindon,2,2 people in household,31933
E06000030,Swindon,3,3 people in household,16144
E06000030,Swindon,4,4 people in household,13822
E06000030,Swindon,5,5 people in household,4530
E06000030,Swindon,6,6 people in household,1375
E06000030,Swindon,7,7 people in household,483
E06000030,Swindon,8,8 or more people in household,357
E06000031,Peterborough,0,0 people in household,0
E06000031,Peterborough,1,1 person in household,23516
E06000031,Peterborough,2,2 people in household,26700
E06000031,Peterborough,3,3 people in household,14515
E06000031,Peterborough,4,4 people in household,11619
E06000031,Peterborough,5,5 people in household,4858
E06000031,Peterborough,6,6 people in household,2019
E06000031,Peterborough,7,7 people in household,769
E06000031,Peterborough,8,8 or more people in household,536
E06000032,Luton,0,0 people in household,0
E06000032,Luton,1,1 person in household,21068
E06000032,Luton,2,2 people in household,20469
E06000032,Luton,3,3 people in household,13153
E06000032,Luton,4,4 people in household,11529
E06000032,Luton,5,5 people in household,6476
E06000032,Luton,6,6 people in household,3335
E06000032,Luton,7,7 people in household,1596
E06000032,Luton,8,8 or more people in household,1314
E06000033,Southend-on-Sea,0,0 people in household,0
E06000033,Southend-on-Sea,1,1 person in household,26102
E06000033,Southend-on-Sea,2,2 people in household,25371
E06000033,Southend-on-Sea,3,3 people in household,12385
E06000033,Southend-on-Sea,4,4 people in household,9857
E06000033,Southend-on-Sea,5,5 people in household,3242
E06000033,Southend-on-Sea,6,6 people in household,945
E06000033,Southend-on-Sea,7,7 people in household,284
E06000033,Southend-on-Sea,8,8 or more people in household,155
E06000034,Thurrock,0,0 people in household,0
E06000034,Thurrock,1,1 person in household,16180
E06000034,Thurrock,2,2 people in household,19262
E06000034,Thurrock,3,3 people in household,12854
E06000034,Thurrock,4,4 people in household,11472
E06000034,Thurrock,5,5 people in household,4529
E06000034,Thurrock,6,6 people in household,1441
E06000034,Thurrock,7,7 people in household,411
E06000034,Thurrock,8,8 or more people in household,227
E06000035,Medway,0,0 people in household,0
E06000035,Medway,1,1 person in household,30462
E06000035,Medway,2,2 people in household,35753
E06000035,Medway,3,3 people in household,19650
E06000035,Medway,4,4 people in household,16738
E06000035,Medway,5,5 people in household,6200
E06000035,Medway,6,6 people in household,1875
E06000035,Medway,7,7 people in household,524
E06000035,Medway,8,8 or more people in household,256
E06000036,Bracknell Forest,0,0 people in household,0
E06000036,Bracknell Forest,1,1 person in household,13465
E06000036,Bracknell Forest,2,2 people in household,16970
E06000036,Bracknell Forest,3,3 people in household,8935
E06000036,Bracknell Forest,4,4 people in household,7743
E06000036,Bracknell Forest,5,5 people in household,2258
E06000036,Bracknell Forest,6,6 people in household,639
E06000036,Bracknell Forest,7,7 people in household,162
E06000036,Bracknell Forest,8,8 or more people in household,76
E06000037,West Berkshire,0,0 people in household,0
E06000037,West Berkshire,1,1 person in household,18008
E06000037,West Berkshire,2,2 people in household,24134
E06000037,West Berkshire,3,3 people in household,11005
E06000037,West Berkshire,4,4 people in household,9680
E06000037,West Berkshire,5,5 people in household,2807
E06000037,West Berkshire,6,6 people in household,748
E06000037,West Berkshire,7,7 people in household,207
E06000037,West Berkshire,8,8 or more people in household,69
E06000038,Reading,0,0 people in household,0
E06000038,Reading,1,1 person in household,19262
E06000038,Reading,2,2 people in household,21183
E06000038,Reading,3,3 people in household,11577
E06000038,Reading,4,4 people in household,9585
E06000038,Reading,5,5 people in household,3685
E06000038,Reading,6,6 people in household,1426
E06000038,Reading,7,7 people in household,584
E06000038,Reading,8,8 or more people in household,381
E06000039,Slough,0,0 people in household,0
E06000039,Slough,1,1 person in household,11948
E06000039,Slough,2,2 people in household,11950
E06000039,Slough,3,3 people in household,9848
E06000039,Slough,4,4 people in household,9564
E06000039,Slough,5,5 people in household,4666
E06000039,Slough,6,6 people in household,2369
E06000039,Slough,7,7 people in household,1011
E06000039,Slough,8,8 or more people in household,1067
E06000040,Windsor and Maidenhead,0,0 people in household,0
E06000040,Windsor and Maidenhead,1,1 person in household,16715
E06000040,Windsor and Maidenhead,2,2 people in household,20250
E06000040,Windsor and Maidenhead,3,3 people in household,10329
E06000040,Windsor and Maidenhead,4,4 people in household,9479
E06000040,Windsor and Maidenhead,5,5 people in household,2754
E06000040,Windsor and Maidenhead,6,6 people in household,865
E06000040,Windsor and Maidenhead,7,7 people in household,264
E06000040,Windsor and Maidenhead,8,8 or more people in household,279
E06000041,Wokingham,0,0 people in household,0
E06000041,Wokingham,1,1 person in household,16265
E06000041,Wokingham,2,2 people in household,23529
E06000041,Wokingham,3,3 people in household,12396
E06000041,Wokingham,4,4 people in household,12405
E06000041,Wokingham,5,5 people in household,3405
E06000041,Wokingham,6,6 people in household,832
E06000041,Wokingham,7,7 people in household,223
E06000041,Wokingham,8,8 or more people in household,109
E06000042,Milton Keynes,0,0 people in household,0
E06000042,Milton Keynes,1,1 person in household,29795
E06000042,Milton Keynes,2,2 people in household,36133
E06000042,Milton Keynes,3,3 people in household,20168
E06000042,Milton Keynes,4,4 people in household,17498
E06000042,Milton Keynes,5,5 people in household,6312
E06000042,Milton Keynes,6,6 people in household,2152
E06000042,Milton Keynes,7,7 people in household,668
E06000042,Milton Keynes,8,8 or more people in household,376
E06000043,Brighton and Hove,0,0 people in household,0
E06000043,Brighton and Hove,1,1 person in household,42101
E06000043,Brighton and Hove,2,2 people in household,40770
E06000043,Brighton and Hove,3,3 people in household,18122
E06000043,Brighton and Hove,4,4 people in household,14243
E06000043,Brighton and Hove,5,5 people in household,4244
E06000043,Brighton and Hove,6,6 people in household,1380
E06000043,Brighton and Hove,7,7 people in household,352
E06000043,Brighton and Hove,8,8 or more people in household,190
E06000044,Portsmouth,0,0 people in household,0
E06000044,Portsmouth,1,1 person in household,27607
E06000044,Portsmouth,2,2 people in household,27805
E06000044,Portsmouth,3,3 people in household,13930
E06000044,Portsmouth,4,4 people in household,10788
E06000044,Portsmouth,5,5 people in household,4032
E06000044,Portsmouth,6,6 people in household,1291
E06000044,Portsmouth,7,7 people in household,476
E06000044,Portsmouth,8,8 or more people in household,225
E06000045,Southampton,0,0 people in household,0
E06000045,Southampton,1,1 person in household,33711
E06000045,Southampton,2,2 people in household,32884
E06000045,Southampton,3,3 people in household,15636
E06000045,Southampton,4,4 people in household,12333
E06000045,Southampton,5,5 people in household,4934
E06000045,Southampton,6,6 people in household,1822
E06000045,Southampton,7,7 people in household,593
E06000045,Southampton,8,8 or more people in household,378
E06000046,Isle of Wight,0,0 people in household,0
E06000046,Isle of Wight,1,1 person in household,22484
E06000046,Isle of Wight,2,2 people in household,25005
E06000046,Isle of Wight,3,3 people in household,8437
E06000046,Isle of Wight,4,4 people in household,5906
E06000046,Isle of Wight,5,5 people in household,2025
E06000046,Isle of Wight,6,6 people in household,626
E06000046,Isle of Wight,7,7 people in household,184
E06000046,Isle of Wight,8,8 or more people in household,105
E06000047,County Durham,0,0 people in household,0
E06000047,County Durham,1,1 person in household,79529
E06000047,County Durham,2,2 people in household,84630
E06000047,County Durham,3,3 people in household,36310
E06000047,County Durham,4,4 people in household,24430
E06000047,County Durham,5,5 people in household,7040
E06000047,County Durham,6,6 people in household,2042
E06000047,County Durham,7,7 people in household,541
E06000047,County Durham,8,8 or more people in household,237
E06000049,Cheshire East,0,0 people in household,0
E06000049,Cheshire East,1,1 person in household,53136
E06000049,Cheshire East,2,2 people in household,64854
E06000049,Cheshire East,3,3 people in household,27168
E06000049,Cheshire East,4,4 people in household,21449
E06000049,Cheshire East,5,5 people in household,6165
E06000049,Cheshire East,6,6 people in household,1522
E06000049,Cheshire East,7,7 people in household,373
E06000049,Cheshire East,8,8 or more people in household,190
E06000050,Cheshire West and Chester,0,0 people in household,0
E06000050,Cheshire West and Chester,1,1 person in household,46887
E06000050,Cheshire West and Chester,2,2 people in household,56529
E06000050,Cheshire West and Chester,3,3 people in household,25045
E06000050,Cheshire West and Chester,4,4 people in household,19291
E06000050,Cheshire West and Chester,5,5 people in household,5455
E06000050,Cheshire West and Chester,6,6 people in household,1390
E06000050,Cheshire West and Chester,7,7 people in household,375
E06000050,Cheshire West and Chester,8,8 or more people in household,182
E06000051,Shropshire,0,0 people in household,0
E06000051,Shropshire,1,1 person in household,41428
E06000051,Shropshire,2,2 people in household,54661
E06000051,Shropshire,3,3 people in household,20205
E06000051,Shropshire,4,4 people in household,16078
E06000051,Shropshire,5,5 people in household,4835
E06000051,Shropshire,6,6 people in household,1396
E06000051,Shropshire,7,7 people in household,505
E06000051,Shropshire,8,8 or more people in household,471
E06000052,Cornwall,0,0 people in household,0
E06000052,Cornwall,1,1 person in household,76862
E06000052,Cornwall,2,2 people in household,96146
E06000052,Cornwall,3,3 people in household,36219
E06000052,Cornwall,4,4 people in household,28035
E06000052,Cornwall,5,5 people in household,9232
E06000052,Cornwall,6,6 people in household,2753
E06000052,Cornwall,7,7 people in household,848
E06000052,Cornwall,8,8 or more people in household,443
E06000053,Isles of Scilly,0,0 people in household,0
E06000053,Isles of Scilly,1,1 person in household,307
E06000053,Isles of Scilly,2,2 people in household,402
E06000053,Isles of Scilly,3,3 people in household,94
E06000053,Isles of Scilly,4,4 people in household,95
E06000053,Isles of Scilly,5,5 people in household,26
E06000053,Isles of Scilly,6,6 people in household,11
E06000053,Isles of Scilly,7,7 people in household,3
E06000053,Isles of Scilly,8,8 or more people in household,5
E06000054,Wiltshire,0,0 people in household,0
E06000054,Wiltshire,1,1 person in household,60574
E06000054,Wiltshire,2,2 people in household,81164
E06000054,Wiltshire,3,3 people in household,33692
E06000054,Wiltshire,4,4 people in household,28205
E06000054,Wiltshire,5,5 people in household,8490
E06000054,Wiltshire,6,6 people in household,2186
E06000054,Wiltshire,7,7 people in household,535
E06000054,Wiltshire,8,8 or more people in household,237
E06000055,Bedford,0,0 people in household,0
E06000055,Bedford,1,1 person in household,21448
E06000055,Bedford,2,2 people in household,24647
E06000055,Bedford,3,3 people in household,12411
E06000055,Bedford,4,4 people in household,10569
E06000055,Bedford,5,5 people in household,3831
E06000055,Bedford,6,6 people in household,1325
E06000055,Bedford,7,7 people in household,439
E06000055,Bedford,8,8 or more people in household,280
E06000056,Central Bedfordshire,0,0 people in household,0
E06000056,Central Bedfordshire,1,1 person in household,31171
E06000056,Central Bedfordshire,2,2 people in household,43254
E06000056,Central Bedfordshire,3,3 people in household,21077
E06000056,Central Bedfordshire,4,4 people in household,18141
E06000056,Central Bedfordshire,5,5 people in household,5197
E06000056,Central Bedfordshire,6,6 people in household,1365
E06000056,Central Bedfordshire,7,7 people in household,376
E06000056,Central Bedfordshire,8,8 or more people in household,172
E06000057,Northumberland,0,0 people in household,0
E06000057,Northumberland,1,1 person in household,48149
E06000057,Northumberland,2,2 people in household,56863
E06000057,Northumberland,3,3 people in household,21121
E06000057,Northumberland,4,4 people in household,15118
E06000057,Northumberland,5,5 people in household,4219
E06000057,Northumberland,6,6 people in household,1073
E06000057,Northumberland,7,7 people in household,268
E06000057,Northumberland,8,8 or more people in household,111
E06000058,"Bournemouth, Christchurch and Poole",0,0 people in household,0
E06000058,"Bournemouth, Christchurch and Poole",1,1 person in household,56531
E06000058,"Bournemouth, Christchurch and Poole",2,2 people in household,61650
E06000058,"Bournemouth, Christchurch and Poole",3,3 people in household,25969
E06000058,"Bournemouth, Christchurch and Poole",4,4 people in household,20627
E06000058,"Bournemouth, Christchurch and Poole",5,5 people in household,6340
E06000058,"Bournemouth, Christchurch and Poole",6,6 people in household,1877
E06000058,"Bournemouth, Christchurch and Poole",7,7 people in household,568
E06000058,"Bournemouth, Christchurch and Poole",8,8 or more people in household,279
E06000059,Dorset,0,0 people in household,0
E06000059,Dorset,1,1 person in household,51741
E06000059,Dorset,2,2 people in household,68961
E06000059,Dorset,3,3 people in household,22917
E06000059,Dorset,4,4 people in household,18049
E06000059,Dorset,5,5 people in household,5470
E06000059,Dorset,6,6 people in household,1488
E06000059,Dorset,7,7 people in household,408
E06000059,Dorset,8,8 or more people in household,223
E06000060,Buckinghamshire,0,0 people in household,0
E06000060,Buckinghamshire,1,1 person in household,57889
E06000060,Buckinghamshire,2,2 people in household,74977
E06000060,Buckinghamshire,3,3 people in household,36693
E06000060,Buckinghamshire,4,4 people in household,34470
E06000060,Buckinghamshire,5,5 people in household,11108
E06000060,Buckinghamshire,6,6 people in household,3331
E06000060,Buckinghamshire,7,7 people in household,1107
E06000060,Buckinghamshire,8,8 or more people in household,753
E06000061,North Northamptonshire,0,0 people in household,0
E06000061,North Northamptonshire,1,1 person in household,40715
E06000061,North Northamptonshire,2,2 people in household,52937
E06000061,North Northamptonshire,3,3 people in household,25312
E06000061,North Northamptonshire,4,4 people in household,20317
E06000061,North Northamptonshire,5,5 people in household,6749
E06000061,North Northamptonshire,6,6 people in household,2096
E06000061,North Northamptonshire,7,7 people in household,530
E06000061,North Northamptonshire,8,8 or more people in household,263
E06000062,West Northamptonshire,0,0 people in household,0
E06000062,West Northamptonshire,1,1 person in household,46474
E06000062,West Northamptonshire,2,2 people in household,60072
E06000062,West Northamptonshire,3,3 people in household,29420
E06000062,West Northamptonshire,4,4 people in household,24645
E06000062,West Northamptonshire,5,5 people in household,8312
E06000062,West Northamptonshire,6,6 people in household,2506
E06000062,West Northamptonshire,7,7 people in household,767
E06000062,West Northamptonshire,8,8 or more people in household,445
E08000001,Bolton,0,0 people in household,0
E08000001,Bolton,1,1 person in household,36521
E08000001,Bolton,2,2 people in household,36766
E08000001,Bolton,3,3 people in household,19218
E08000001,Bolton,4,4 people in household,15001
E08000001,Bolton,5,5 people in household,6336
E08000001,Bolton,6,6 people in household,2696
E08000001,Bolton,7,7 people in household,1169
E08000001,Bolton,8,8 or more people in household,1084
E08000002,Bury,0,0 people in household,0
E08000002,Bury,1,1 person in household,24880
E08000002,Bury,2,2 people in household,26584
E08000002,Bury,3,3 people in household,13122
E08000002,Bury,4,4 people in household,10148
E08000002,Bury,5,5 people in household,3621
E08000002,Bury,6,6 people in household,1356
E08000002,Bury,7,7 people in household,555
E08000002,Bury,8,8 or more people in household,429
E08000003,Manchester,0,0 people in household,0
E08000003,Manchester,1,1 person in household,71577
E08000003,Manchester,2,2 people in household,62664
E08000003,Manchester,3,3 people in household,32180
E08000003,Manchester,4,4 people in household,24487
E08000003,Manchester,5,5 people in household,12817
E08000003,Manchester,6,6 people in household,6275
E08000003,Manchester,7,7 people in household,2700
E08000003,Manchester,8,8 or more people in household,2029
E08000004,Oldham,0,0 people in household,0
